ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,DTYMK,,,,PTPRE,HIBCH,GFOD1,,,HNRNPK,,POLR2K,ERGIC3,GNA13,RBM3,GGA1,,EMP3,,TRAPPC6A,EIF4H,NEMF,INO80E,MAP7D1,,SLC25A36,IRF1,NDUFA1,,,,VAPA,FAM32A,CIB1,LDHA,,,,PPP4R3A,,,,MRPL33,PSMG2,,,,,,HNRNPK,,,,,,,JADE1,,PIGT,,,,MRPL12,,CDC5L,,,FCGR3A,,,,
,DUSP1,,,,RAB11B,HIPK1,GLRX5,,,HNRNPR,,POLR2L,ERICH1,GNG10,RBM7,GNAI2,,ENY2,,TRIM22,EIF5A,NFKBIA,INPP5D,MATK,,SLFN5,IRF7,NDUFA4,,,,VMA21,FAM3C,CIRBP,LEPROTL1,,,,PSMA3-AS1,,,,MRPL51,PTEN,,,,,,HPRT1,,,,,,,JAK1,,POLR2C,,,,MRPL23,,CDIP1,,,FGFBP2,,,,
,DUSP10,,,,RAB27A,HIPK3,GOLGA7,,,HPF1,,POP7,ERV3-1,GNPTAB,RBMX,GNB2,,EPB41,,TSC22D4,EIF5B,NFKBIZ,INPP5K,MCM3,,SOCS3,ISG20,NDUFA6,,,,VPS37B,FAM8A1,CITED2,LINC-PINT,,,,PSMB10,,,,MRPS23,PTP4A2,,,,,,HSPH1,,,,,,,JAK3,,PPHLN1,,,,MRPL43,,CDK13,,,GALC,,,,
,EEF1A1,,,,RAB29,HLA-E,GPATCH8,,,ICAM3,,PPP1R15A,ESD,GSPT1,RHOA,GNG2,,ESD,,UBC,ELOVL1,NKTR,ISCU,MCUR1,,SREK1,ITCH,NDUFB2,,,,XRCC5,FASLG,CLK1,LINC01588,,,,PSMB2,,,,MYH9,PTPN4,,,,,,IDH2,,,,,,,JOSD2,,PPM1B,,,,MRPS34,,CDKN2D,,,GHITM,,,,
,EEF1G,,,,RAB9A,HSPA8,GPR65,,,IFI16,,PPP1R15B,EXOC7,GTF2F1,RNH1,GPAA1,,ETFB,,UBR2,ELP5,NPRL2,KDM6B,ME2,,SRPK2,JADE1,NDUFS6,,,,ZFC3H1,FBL,CMC1,LITAF,,,,PSMD7,,,,N4BP2L1,PTPRC,,,,,,IL12RB1,,,,,,,KCTD20,,PPP1CB,,,,MYH9,,CEBPD,,,GNPAT,,,,
,EFR3A,,,,RAE1,HSPA9,GRB2,,,IFITM1,,PPP2R2B,EZR,H2AFY,RPL27,GPS1,,ETS1,,UQCRC1,ENO1,NR4A2,KIR2DL3,METTL9,,SUCLG1,KAT7,NELFE,,,,ZNF585A,FKBP11,CMPK1,LPCAT1,,,,PTP4A2,,,,NAP1L1,PYCARD,,,,,,IL27RA,,,,,,,KIF20B,,PPP1R12A,,,,MYL12A,,CENPC,,,GPN1,,,,
,EGR1,,,,RASGRP2,HSPB11,GRK2,,,IFNG,,PRKAG1,FAM111A,H3F3A,RPL29,GPSM3,,FAM162A,,VPS16,EPC1,NXT1,KLRD1,MIEN1,,SUPT5H,KIAA0355,NFKBID,,,,ZYX,FKBP1A,CMTM3,LSM4,,,,PTPN18,,,,NFAT5,PYM1,,,,,,ILF2,,,,,,,KLHDC4,,PRPF18,,,,MYO9B,,CEP350,,,GPR65,,,,
,EHD4,,,,RBBP7,IKBKB,GZMK,,,IFT20,,PRKAG2,FAM122B,HAVCR2,RPL3,GRPEL1,,FAM207A,,WBP1,EPS15,OFD1,KRR1,MPC1,,TBRG1,KIF22,NGDN,,,,,FKBP2,CMTM6,LTN1,,,,PYURF,,,,NIN,RAB11B,,,,,,IQGAP2,,,,,,,KLHL24,,PSMC2,,,,NDUFA13,,CEP57,,,GPS1,,,,
,EIF1,,,,RIC8A,IL16,H1FX,,,IGFBP7,,PRMT9,FAM200B,HCST,RPL41,GSE1,,FAM32A,,WDR83OS,ERBIN,OLA1,KTN1,MRPL1,,TCERG1,KMT2C,NME2,,,,,FOS,CNOT2,LUC7L2,,,,RAB28,,,,NOL10,RAB4B,,,,,,JMJD1C,,,,,,,KLRK1,,PSMC4,,,,NDUFAF4,,CEP78,,,GPSM3,,,,
,EIF3D,,,,RLIM,ILF3,H3F3B,,,ISG15,,PRR7,FAM50A,HDAC2,RPLP1,GSPT1,,FASTK,,XRN1,ERCC5,OPTN,LAP3,MRPL47,,TIMM17B,KPNA2,NOSIP,,,,,FOSB,COMMD3,MAGOH,,,,RALY,,,,NUB1,RAB8A,,,,,,JMJD6,,,,,,,KPNB1,,PSMD14,,,,NEDD8,,CERK,,,GTPBP4,,,,
,EIF3I,,,,RNF115,IMPDH2,HAX1,,,ISOC2,,PSMA7,FASTK,HDAC7,RPS18,GYPC,,FCER1G,,XRN2,ERICH1,OTUD6B-AS1,LAPTM4A,MRPS2,,TM9SF2,KRCC1,NPM1,,,,,FXYD5,COPA,MAP3K8,,,,RB1,,,,NUDT5,RANBP3,,,,,,KANSL1,,,,,,,LBR,,PSMD6,,,,NIP7,,CERS2,,,H3F3A,,,,
,EIF3L,,,,RNPS1,INIP,HELZ,,,ITGB1,,PTBP1,FBXW7,HLA-DPB1,RPS26,H2AFJ,,FDFT1,,YTHDF2,ERICH6-AS1,PABPC1,LARS,MRPS21,,TPGS1,LBR,NUDT1,,,,,G3BP2,COPE,MAPK1IP1L,,,,RBCK1,,,,NUTF2,RBM33,,,,,,KIAA0355,,,,,,,LENG8,,PSMF1,,,,NNT,,CFAP20,,,HACD4,,,,
,EIF3M,,,,RPL6,IPO5,HERPUD1,,,IVNS1ABP,,RAB11FIP1,FCGR3A,HMGB1,RSL1D1,H2AFV,,FDX1,,ZBTB20,ESYT2,PDCD2,LAX1,MRPS26,,TPM3,LETMD1,ODC1,,,,,GADD45B,COPS9,MATK,,,,RBM22,,,,NUTM2B-AS1,RHOG,,,,,,KIR3DL2,,,,,,,LPIN2,,PSMG2,,,,NPRL2,,CFL1,,,HAX1,,,,
,EIF4A3,,,,RSBN1,IRF7,HIGD1A,,,JMY,,RAD50,FCMR,HMGB2,SBF2,HEBP2,,FHL3,,ZFAND3,ETS1,PGD,LCP2,MZT2A,,TPST2,LGALS1,P4HB,,,,,GAPDH,COX14,MBNL1,,,,RBM4,,,,OSBPL9,RIOK3,,,,,,KXD1,,,,,,,LSM8,,PTAR1,,,,NUBP1,,CGGBP1,,,HDAC2,,,,
,EIF5B,,,,RSL1D1,ISOC2,HNRNPA2B1,,,JOSD2,,RAMP1,FCRL3,HMOX2,SEC11C,HERPUD2,,FLII,,ZNRD1,FAM126B,PGLS,LINC-PINT,NAA38,,TSC2,LRP10,PARK7,,,,,GAS5,COX4I1,MED13,,,,RBM5,,,,OXA1L,RNF125,,,,,,LAP3,,,,,,,LST1,,PTPN12,,,,NUDC,,CHCHD2,,,HELZ,,,,
,ENDOV,,,,RSRP1,ITFG2,HNRNPF,,,JUN,,RASGRP2,FGFR1OP2,HNRNPA3,SF3B5,HIPK1,,FNTA,,,FAM133B,PLRG1,LINC00528,NACA,,TSC22D4,LSM5,PDIA6,,,,,GATAD2A,COX7A2L,MED30,,,,RHOA,,,,PAFAH1B1,RNF187,,,,,,LEPROTL1,,,,,,,MAGOH,,PTPRA,,,,NUDT14,,CHD1,,,HES6,,,,
,ENOPH1,,,,SCFD1,ITM2B,HNRNPR,,,KARS,,RBBP6,FNIP1,HNRNPH1,SH3KBP1,HM13,,GATAD1,,,FAM172A,PMS2,LINC01116,NAP1L1,,TSEN54,LYPLA1,PGAM1,,,,,GLRX5,CPSF7,METRNL,,,,RHOT2,,,,PDCD4,ROCK1,,,,,,LINC-PINT,,,,,,,MAP2K2,,PTPRJ,,,,OSTC,,CHD3,,,HIGD2A,,,,
,EP300,,,,SEC14L1,JOSD2,HSPA9,,,KDM5B,,RFC1,FOSB,HNRNPK,SLC38A10,HMGB2,,GGCT,,,FAM32A,PNRC1,LMO4,NDUFC1,,TSPAN32,LYRM1,PKM,,,,,GLUL,CRCP,MFSD10,,,,RNF10,,,,PDCD6IP,RPL24,,,,,,LPCAT1,,,,,,,MAPRE1,,PUF60,,,,PARL,,CHMP1A,,,HIRIP3,,,,
,EPB41L4A-AS1,,,,SERPINB9,JPX,IDH3B,,,KHDRBS1,,RMND5A,FTH1,HNRNPU,SLC39A8,HMGN2,,GID8,,,FAM3C,POLR2K,LSP1,NDUFV2,,UTP18,MBNL1,POLE4,,,,,GNG5,CREM,MIB2,,,,RNF13,,,,PDE4D,RPL36,,,,,,LPXN,,,,,,,MAPRE2,,PYM1,,,,PCID2,,CHMP2A,,,HLA-E,,,,
,EPRS,,,,SESN1,KANSL1,IFNGR1,,,KIAA0319L,,RPL10A,FTL,HPCAL1,SMCR5,HMGN3,,GIMAP4,,,FAM49B,PPP1CA,M6PR,NME1,,VPS4A,MCTP2,POP7,,,,,GOLGB1,CSNK1G3,MIDN,,,,RNF167,,,,PFDN5,RPL37,,,,,,LSM5,,,,,,,METRNL,,QARS,,,,PDCD10,,CHST12,,,HMOX2,,,,
,ERGIC1,,,,SF1,KBTBD2,IKZF1,,,KIDINS220,,RPL13,FYTTD1,ICAM3,SNW1,HMGN4,,GLRX5,,,FAM98B,PPP1R10,MAFF,NME2,,WDR1,ME2,PPIA,,,,,GPR65,CSRNP1,MORF4L2,,,,RNF19A,,,,PHF21A,RPL39,,,,,,MAPK13,,,,,,,MEX3C,,RAB6A,,,,PDCD6,,CHTOP,,,HNRNPC,,,,
,ERN1,,,,SFSWAP,KHDRBS1,IKZF3,,,KLRF1,,RPL14,GDI1,IDS,SNX6,HNRNPA1,,GLS,,,FBXO11,PPP1R15A,MAGOH,NOP10,,ZNF24,MED21,PPIB,,,,,GPS2,CST7,MRPL20,,,,RNF213,,,,PHF3,RPS6KA5,,,,,,MCUR1,,,,,,,MFF,,RAD50,,,,PDLIM2,,CIB1,,,HNRNPD,,,,
,ERV3-1,,,,SFT2D1,KLF12,IL16,,,KLRK1,,RPL17,GIMAP1,IFT20,SPPL2A,HNRNPA2B1,,GLTP,,,FCF1,PRKAG1,MBD5,NTMT1,,ZNF281,MGRN1,PPIL3,,,,,GSN,CTBP1,MRPL23,,,,RNPEPL1,,,,PKN1,SECISBP2L,,,,,,MDH2,,,,,,,MGAT1,,RHOT2,,,,PFN1,,CIRBP,,,HNRNPK,,,,
,ESYT1,,,,SLC25A20,KLHL24,ILKAP,,,KRI1,,RPL21,GLTP,IGBP1,SRPK2,HNRNPC,,GMCL1,,,FKBP1A,R3HCC1,MED23,NUDC,,ZNF580,MIB2,PPM1G,,,,,GSTP1,CTR9,MRPS34,,,,RPL13A,,,,PLEKHA1,SERINC1,,,,,,MKNK2,,,,,,,MOB1A,,RIPK2,,,,PGD,,CLEC11A,,,HNRNPUL2,,,,
,EVI2B,,,,SLC35A3,LAMTOR2,IMP3,,,LAIR2,,RPL39L,GORASP2,ILF2,SRRM1,HNRNPD,,GNAI3,,,FKBP5,RAB3GAP2,MED30,NUDT1,,ZNF827,MICU2,PRPF38B,,,,,GYPC,CTSD,MTMR9,,,,RPL22L1,,,,PNISR,SF3A2,,,,,,MPHOSPH8,,,,,,,MOB2,,RNF216,,,,PLD3,,CLINT1,,,HOPX,,,,
,FAM117A,,,,SLC35E1,LCOR,ING3,,,LAMTOR4,,RPL6,GPATCH3,INTS12,SRSF3,HNRNPK,,GNG5,,,FMR1,RB1,METTL17,NUTF2,,,MRPL10,PRPF40A,,,,,GZMB,CTSS,MYL6,,,,RPL23A,,,,PNRC1,SFPQ,,,,,,MRPS18A,,,,,,,MORF4L2,,RPS6KB2,,,,PLGRKT,,CLN3,,,ICAM2,,,,
,FAM162A,,,,SMARCC2,LEPROT,IP6K1,,,LDHB,,RPS19,GPSM3,INTS6,SRSF7,HP1BP3,,GOLGA2,,,FNBP1,RBM23,MGAT1,NXT2,,,MRPL51,PRPF4B,,,,,GZMH,CUL2,MZT2A,,,,RPL26,,,,POP5,SLC30A7,,,,,,MSRA,,,,,,,MRPL43,,RRBP1,,,,PNKP,,CLPTM1,,,IDI1,,,,
,FAM3A,,,,SMG1,LINC00623,IRF1,,,LLPH,,RPS5,GRB2,ISG15,ST13,HSD17B10,,GPATCH2L,,,FNDC3B,RBM3,MORF4L2,OAZ1,,,MRPS12,PRSS23,,,,,H1FX,CXCR4,NABP2,,,,RPL29,,,,PPP1R12A,SLC39A8,,,,,,MTHFD2,,,,,,,MRPS24,,RSL1D1,,,,POFUT2,,CLSTN3,,,IER3IP1,,,,
,FAM53C,,,,SMIM10L1,LINC01578,IRF2,,,LRCH3,,RSF1,GSE1,ISG20,STAT1,HSP90AA1,,GPR65,,,FOS,RBPJ,MPC1,ODC1,,,MRPS33,PSMA5,,,,,H2AFX,CYB561D2,NDUFS7,,,,RPL31,,,,PPP1R35,SMAD5,,,,,,MZT2A,,,,,,,MYADM,,RSL24D1,,,,POLR2E,,CLTA,,,IFFO1,,,,
,FCER1G,,,,SNRPB,LITAF,ISG15,,,LSM3,,S1PR1,GSPT1,ITGA4,TAF7,HSP90AB1,,GSN,,,FOSB,REV3L,MPC2,OLA1,,,MTDH,PTPN1,,,,,H2AFZ,CYCS,NFATC2,,,,RPL5,,,,PPP2CA,SMARCA2,,,,,,NAA38,,,,,,,NAA20,,RSU1,,,,POLR2G,,CMTM6,,,IKBKG,,,,
,FCMR,,,,SNW1,LMNA,ISG20L2,,,LSP1,,SCOC,GSTP1,JARID2,TAOK1,HSP90B1,,GZMM,,,FOXN2,RHOB,MRPL16,PAIP2,,,MYDGF,QARS,,,,,H3F3B,CYTH1,NFKB2,,,,RPL8,,,,PPP4R3A,SMARCA5,,,,,,NAP1L1,,,,,,,NCOR1,,SAR1A,,,,POLR2J,,CNBP,,,IL2RG,,,,
,FIBP,,,,SOCS2,LRPAP1,ITSN2,,,LUC7L2,,SDHB,GTF2B,JMJD6,TMED9,HSPA5,,HBD,,,FXYD5,RPL11,MRPS12,PCIF1,,,MYL12A,RAB11B,,,,,HCST,DAAM1,NIFK,,,,RPS14,,,,PRDX1,SMIM4,,,,,,NAP1L4,,,,,,,NDUFA5,,SARS,,,,POMC,,CNDP2,,,IREB2,,,,
,FKBP11,,,,SPPL2A,M6PR,IVNS1ABP,,,LY6E,,SFT2D1,GTPBP1,JTB,TMEM263,HSPA8,,HCLS1,,,G3BP2,RPL12,MRPS16,PCNA,,,MZT2A,RANGRF,,,,,HDHD2,DCAF13,NIPA2,,,,RPS16,,,,PRDX3,SMKR1,,,,,,NASP,,,,,,,NDUFA7,,SCAF11,,,,PPIB,,CNIH1,,,ITGA4,,,,
,FNDC3B,,,,SRPRA,MADD,JUND,,,MAD1L1,,SHOC2,GZMA,KDELR2,TMEM59,HSPD1,,HERPUD1,,,GADD45B,RPL13,MRPS21,PDE4D,,,NAA10,RAP1B,,,,,HIPK1-AS1,DCTN4,NME2,,,,RPS19,,,,PRKAR1A,SRM,,,,,,NBEAL1,,,,,,,NDUFS2,,SCAF8,,,,PPIL2,,COMMD2,,,ITGB2,,,,
,FOS,,,,SSR1,MAP3K8,KANSL1,,,MAGOH,,SLC39A8,H2AFZ,KDM5A,TNFRSF25,HUWE1,,HIPK1,,,GATA3,RPL14,MRPS5,PDLIM1,,,NAP1L4,RAPGEF6,,,,,HMGA1,DCTN6,NOL11,,,,RPS20,,,,PRMT1,SSBP1,,,,,,NCL,,,,,,,NECAP1,,SDF2,,,,PPP1CA,,COMMD5,,,IVNS1ABP,,,,
,FOSB,,,,STARD7,MAPRE1,KLHDC4,,,MBP,,SMARCA5,H3F3B,KIF5B,TRMT2A,IDH3G,,HIRIP3,,,GDI2,RPL15,MTERF4,PIK3CD,,,NCBP2,RBMS1,,,,,HNRNPA2B1,DCXR,NR4A2,,,,RPS21,,,,PRRC2C,SSR1,,,,,,NDUFA6,,,,,,,NELFE,,SEC22B,,,,PPP2R1A,,COMT,,,JAK1,,,,
,FOXP1,,,,STAT3,MCRS1,KRT10,,,MDH1,,SNAPC5,HAT1,KLRC1,TRPC4AP,IFFO1,,HIST2H2AC,,,GIGYF2,RPL17,MTHFD2L,PIK3R5,,,NCKAP1L,RGS10,,,,,HNRNPC,DDA1,NTMT1,,,,RPS27L,,,,PSMG2,STIM2,,,,,,NDUFAF2,,,,,,,NFE2L2,,SEC62,,,,PPP2R5C,,COPE,,,JAK3,,,,
,FRA10AC1,,,,STAT6,MED13,LMAN1,,,MED15,,SNHG3,HCST,KLRF1,U2AF2,IFIT2,,HLA-B,,,GLRX3,RPL18,MYL12B,PKM,,,NCR3,RGS19,,,,,HNRNPK,DDIT3,OARD1,,,,RPS5,,,,PTBP1,SUPT20H,,,,,,NDUFAF3,,,,,,,NFKB2,,SECISBP2L,,,,PQBP1,,COPS4,,,JARID2,,,,
,G3BP2,,,,STK26,MED31,LRIF1,,,MED27,,SNX5,HDGF,LAIR2,UBN1,IFITM1,,HLA-DQB1,,,GLUL,RPL21,MZT2A,PLEKHJ1,,,NDEL1,RHEB,,,,,HNRNPUL1,DDX1,OAZ1,,,,RPS6,,,,PTPN4,TAF7,,,,,,NDUFB1,,,,,,,NFKBIB,,SETX,,,,PRCP,,CORO1A,,,JOSD2,,,,
,GABARAPL2,,,,STOM,MED6,LSP1,,,MFF,,SOCS2,HEXA,LCOR,UBP1,IGBP1,,HLA-DRB1,,,GOLIM4,RPL26,NAA10,POLDIP3,,,NDUFB8,RING1,,,,,HSP90AA1,DDX18,OSTC,,,,RSRP1,,,,PUF60,TCP11L2,,,,,,NELFE,,,,,,,NFYB,,SF3B2,,,,PREX1,,COTL1,,,KANSL1,,,,
,GABPB1-AS1,,,,STX16,MEX3C,MAD1L1,,,MIF,,SPRY2,HIGD1A,LIMD2,UQCC2,ISOC2,,HLA-E,,,GPATCH2L,RPL27A,NACA,PPIA,,,NDUFS3,ROMO1,,,,,HSPA8,DDX27,OTUB1,,,,RWDD4,,,,PYCARD,TET2,,,,,,NMI,,,,,,,NGRN,,SF3B4,,,,PRMT1,,COX7C,,,KAT6A,,,,
,GADD45B,,,,SUN2,MFSD14C,MAP2K2,,,MMADHC,,SRGN,HLA-DQB1,LIME1,USE1,ITCH,,HMGB2,,,GSDMD,RPL28,NDUFA13,PPIH,,,NFATC2IP,RPL14,,,,,ICAM3,DDX3X,OTUD5,,,,SEMA4D,,,,RAB28,TGFB1,,,,,,NPM1,,,,,,,NIP7,,SH3YL1,,,,PRR14,,COX8A,,,KDM5C,,,,
,GAPDH,,,,SZRD1,MRPL40,MAP2K7,,,MRPL11,,SRSF10,HNRNPA2B1,LMBR1L,USF2,ITGB1BP1,,HNRNPA2B1,,,GSPT1,RPL29,NDUFB1,PPP4R3B,,,NIPBL,RPL17,,,,,ID1,DDX3Y,PA2G4,,,,SERP1,,,,RAB2A,TIMM8B,,,,,,NRBF2,,,,,,,NPEPPS,,SLC25A11,,,,PSMB5,,CPNE1,,,KIF5B,,,,
,GDI2,,,,TAF15,MRPS25,MAP7D1,,,MRPS21,,SRSF2,HNRNPC,LMNB1,USP8,JADE1,,HNRNPUL1,,,GZMH,RPL3,NDUFB10,PRDX6,,,NRROS,RPL29,,,,,ID2,DDX5,PAIP2,,,,SESN2,,,,RAB7A,TOMM20,,,,,,NSA2,,,,,,,NUDT5,,SLC25A20,,,,PSMD6,,CPNE3,,,KLRK1,,,,
,GGA1,,,,TAF1D,MTIF3,MARCH5,,,MRPS33,,SRSF5,HP1BP3,LRBA,WAC,JAK3,,HPCAL1,,,H2AFV,RPL32,NEDD8,PRKAG1,,,NUBP2,RPL36,,,,,IER2,DDX6,PCED1B-AS1,,,,SET,,,,RAP1B,TRABD,,,,,,NUTM2A-AS1,,,,,,,OFD1,,SLC35E1,,,,PSMD8,,CREBRF,,,LAMTOR3,,,,
,GLYR1,,,,TAF3,MXD4,MAT2A,,,MRPS36,,STARD3NL,HPS3,LRP10,WBP2,KANSL1,,HSP90B1,,,H2AFY,RPL34,NFATC2IP,PRRC2A,,,NUCKS1,RPL36AL,,,,,IER5,DHRS7B,PDIA6,,,,SF1,,,,RASA2,TRAPPC1,,,,,,ORAI1,,,,,,,OGDH,,SLC38A10,,,,PSMG2,,CRTC3,,,LARP7,,,,
,GNG5,,,,TAF7,MYL6,MAX,,,MRPS7,,STAT3,HSP90AA1,LRRC58,YKT6,KANSL2,,HSPA5,,,H3F3A,RPL35A,NFKB2,PRSS23,,,NUTF2,RPL38,,,,,IFITM3,DHX15,PDS5A,,,,SF3A2,,,,RBM38,TRMT13,,,,,,OSER1,,,,,,,OXNAD1,,SLC4A7,,,,PTPRA,,CSNK1E,,,LASP1,,,,
,GOLGA3,,,,TGOLN2,MYO1G,MBNL1,,,MSN,,SUMF2,HSPE1,LSP1,YWHAQ,KIAA0355,,HSPA8,,,H3F3B,RPL36,NFKBIA,PSIP1,,,OAZ1,RPL7,,,,,IFNG,DLST,PFKP,,,,SF3B1,,,,RCOR3,TTC19,,,,,,PAK2,,,,,,,OXR1,,SMAP1,,,,PTPRE,,CSNK1G2,,,LCOR,,,,
,GOLT1B,,,,TIGAR,MYOM2,METRNL,,,MTERF4,,SUMO3,HSPH1,LYN,YY1,KIF20B,,HSPBP1,,,HACD3,RPL37,NLRC5,PSMC3,,,ORMDL2,RPS19,,,,,IFRD1,DNAJB1,PFN1,,,,SF3B5,,,,RGCC,TTC39B,,,,,,PCM1,,,,,,,P4HTM,,SMAP2,,,,PXN,,CSNK2A1,,,LDHA,,,,
,GRB2,,,,TM9SF2,NAAA,MIB2,,,MYADM,,SYTL1,IER3,LYPLA2,ZC3H18,KLHDC2,,HSPE1,,,HIBCH,RPL41,NME1,PSTPIP1,,,OST4,RPS19BP1,,,,,IL16,DNAJB9,PKN1,,,,SH2D2A,,,,RHOBTB3,UBA1,,,,,,PCNA,,,,,,,PCBP1,,SMARCA2,,,,RAB5A,,CSTF2T,,,LIMD2,,,,
,GRPEL1,,,,TMCO3,NABP1,MOB2,,,MYDGF,,TAF7,IFI16,LYST,ZFAND2B,KLRD1,,IDI1,,,HINT1,RPL6,NOP56,PTBP1,,,OSTC,RPS21,,,,,IMPA1,DNAJC10,PNRC1,,,,SH3BGRL,,,,RHOH,UBA2,,,,,,PDCD10,,,,,,,PCED1B-AS1,,SMIM14,,,,RAB7A,,CTNNB1,,,LIMS1,,,,
,GSDMD,,,,TMEM123,NDUFAF3,MORC3,,,MYH9,,TFDP1,IFNG,MAP1LC3B,ZNF827,KLRF1,,IL12RB1,,,HIPK1-AS1,RPL8,NSA2,PTS,,,OTUD5,RPS24,,,,,IQGAP1,DPY30,POLR2G,,,,SHKBP1,,,,RIN3,UBE2D2,,,,,,PER1,,,,,,,PCNP,,SMIM19,,,,RALB,,CTNNBIP1,,,LINC01578,,,,
,GSE1,,,,TMEM242,NDUFB4,MPC2,,,MYL12A,,TGIF1,IFRD1,MARCKSL1,,KLRG1,,IL32,,,HMGB1,RPL9,NSFL1C,RAB11B,,,P4HB,RPS25,,,,,IQGAP2,DTNBP1,PPIA,,,,SIPA1,,,,RIT1,UBE2D3,,,,,,PFDN6,,,,,,,PCSK7,,SNX6,,,,RALGAPA1,,CTSC,,,LUC7L3,,,,
,GSTP1,,,,TMEM243,NEIL1,MRPL1,,,MYOM2,,THOC7,IGBP1,MATK,,KLRK1,,ING2,,,HNRNPA3,RPLP2,NT5C,RAB2A,,,PARP10,RPS6,,,,,ISG20L2,DTX3,PPIB,,,,SLC38A1,,,,RNASEH2B,UBE2I,,,,,,PHF5A,,,,,,,PDE4D,,SOD2,,,,RBM3,,CTSD,,,LYN,,,,
,GTF3A,,,,TMEM59,NFE2L2,MRPL10,,,NAA38,,THUMPD3-AS1,IL32,MAZ,,KMT2C,,INSIG1,,,HNRNPAB,RPS12,NUDT5,RAB8B,,,PBX2,RPS7,,,,,ITM2B,DUS1L,PPIP5K2,,,,SLC44A2,,,,RNF10,UBE2R2,,,,,,PHIP,,,,,,,PDS5B,,SPPL3,,,,RELB,,CTSO,,,LYRM1,,,,
,GTPBP1,,,,TNFAIP8,NGDN,MRPL24,,,NCOA1,,TIPRL,ILKAP,MBP,,KPNA2,,IQGAP2,,,HNRNPC,RPS14,NUFIP2,RAC1,,,PCF11,RSL24D1,,,,,IVNS1ABP,DUSP1,PPP1CA,,,,SMAP1,,,,RNF113A,UBTF,,,,,,PIK3CD,,,,,,,PDXDC1,,SSBP1,,,,RER1,,CWC15,,,LYRM7,,,,
,GYPC,,,,TOP2B,NGRN,MRPL3,,,NDUFA1,,TMBIM1,INSIG1,MCM3,,KXD1,,IRF2,,,HNRNPF,RPS15A,NUTF2,RANBP1,,,PDIA6,RTN3,,,,,JOSD1,DUSP2,PPP1R35,,,,SMARCA2,,,,RNF13,UPF3A,,,,,,PIN1,,,,,,,PDZD8,,STAT3,,,,RGS19,,CXXC5,,,MAGOH,,,,
,H1FX,,,,TPR,NHP2,MRPL42,,,NDUFA13,,TMEM123,ISCA1,ME2,,LBR,,ISOC1,,,HNRNPH3,RPS19,PARK7,RBBP7,,,PDS5A,S100A4,,,,,JPX,DYNC1I2,PPP4C,,,,SMS,,,,RPS24,USF2,,,,,,PLCB2,,,,,,,PFKL,,STAU2,,,,RHOB,,CYB5B,,,MALT1,,,,
,HACD4,,,,TRAF3IP3,NIN,MRPS18B,,,NDUFS2,,TMEM173,IST1,MED28,,LENG8,,ITGAL,,,HNRNPK,RPS20,PARP1,RBCK1,,,PEX16,S1PR4,,,,,JUN,EBPL,PPP4R3A,,,,SNRNP200,,,,RPS6KA4,USP12,,,,,,PMF1,,,,,,,PFKP,,STOM,,,,RIPK2,,CYP20A1,,,MAP3K8,,,,
,HCFC1,,,,TXNIP,NOL10,MRPS5,,,NDUFS5,,TMEM205,JAK1,MED4,,LGALS1,,JARID2,,,HNRNPM,RPS21,PCMT1,RFC2,,,PFN1,SACM1L,,,,,KDM6B,EEF1B2,PRELID1,,,,SNRPB,,,,S100A6,USP16,,,,,,PPIA,,,,,,,PGAM1,,SUGT1,,,,RNF181,,DAZAP1,,,MAPRE2,,,,
,HIST1H2AC,,,,UBA2,NOP56,MX1,,,NEMF,,TNIP1,JTB,MGST3,,LRP10,,JOSD2,,,HNRNPU,RPS26,PDCD6,RHOF,,,PGK1,SAE1,,,,,KLF10,EEF1D,PRMT9,,,,SP110,,,,SART1,USP48,,,,,,PPP1R15B,,,,,,,PIM1,,SUPT16H,,,,RPL28,,DAZAP2,,,MAT2B,,,,
