ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,,TAF15,MRPS25,MAP7D1,,,,,,MRPS21,,HNRNPC,LMNB1,USP8,JADE1,,HNRNPUL1,,,NDUFB10,PRDX6,,,,NRROS,RPL29,,,,,,,,RAB7A,,TOMM20,,,,,NSA2,,,,,,,,,NUDT5,,SLC25A20,,,,,PSMD6,,CPNE3,,KLRK1,,,,
,,TAF1D,MTIF3,MARCH5,,,,,,MRPS33,,HP1BP3,LRBA,WAC,JAK3,,HPCAL1,,,NEDD8,PRKAG1,,,,NUBP2,RPL36,,,,,,,,RAP1B,,TRABD,,,,,NUTM2A-AS1,,,,,,,,,OFD1,,SLC35E1,,,,,PSMD8,,CREBRF,,LAMTOR3,,,,
,,TAF3,MXD4,MAT2A,,,,,,MRPS36,,HPS3,LRP10,WBP2,KANSL1,,HSP90B1,,,NFATC2IP,PRRC2A,,,,NUCKS1,RPL36AL,,,,,,,,RASA2,,TRAPPC1,,,,,ORAI1,,,,,,,,,OGDH,,SLC38A10,,,,,PSMG2,,CRTC3,,LARP7,,,,
,,TAF7,MYL6,MAX,,,,,,MRPS7,,HSP90AA1,LRRC58,YKT6,KANSL2,,HSPA5,,,NFKB2,PRSS23,,,,NUTF2,RPL38,,,,,,,,RBM38,,TRMT13,,,,,OSER1,,,,,,,,,OXNAD1,,SLC4A7,,,,,PTPRA,,CSNK1E,,LASP1,,,,
,,TGOLN2,MYO1G,MBNL1,,,,,,MSN,,HSPE1,LSP1,YWHAQ,KIAA0355,,HSPA8,,,NFKBIA,PSIP1,,,,OAZ1,RPL7,,,,,,,,RCOR3,,TTC19,,,,,PAK2,,,,,,,,,OXR1,,SMAP1,,,,,PTPRE,,CSNK1G2,,LCOR,,,,
,,TIGAR,MYOM2,METRNL,,,,,,MTERF4,,HSPH1,LYN,YY1,KIF20B,,HSPBP1,,,NLRC5,PSMC3,,,,ORMDL2,RPS19,,,,,,,,RGCC,,TTC39B,,,,,PCM1,,,,,,,,,P4HTM,,SMAP2,,,,,PXN,,CSNK2A1,,LDHA,,,,
,,TM9SF2,NAAA,MIB2,,,,,,MYADM,,IER3,LYPLA2,ZC3H18,KLHDC2,,HSPE1,,,NME1,PSTPIP1,,,,OST4,RPS19BP1,,,,,,,,RHOBTB3,,UBA1,,,,,PCNA,,,,,,,,,PCBP1,,SMARCA2,,,,,RAB5A,,CSTF2T,,LIMD2,,,,
,,TMCO3,NABP1,MOB2,,,,,,MYDGF,,IFI16,LYST,ZFAND2B,KLRD1,,IDI1,,,NOP56,PTBP1,,,,OSTC,RPS21,,,,,,,,RHOH,,UBA2,,,,,PDCD10,,,,,,,,,PCED1B-AS1,,SMIM14,,,,,RAB7A,,CTNNB1,,LIMS1,,,,
,,TMEM123,NDUFAF3,MORC3,,,,,,MYH9,,IFNG,MAP1LC3B,ZNF827,KLRF1,,IL12RB1,,,NSA2,PTS,,,,OTUD5,RPS24,,,,,,,,RIN3,,UBE2D2,,,,,PER1,,,,,,,,,PCNP,,SMIM19,,,,,RALB,,CTNNBIP1,,LINC01578,,,,
,,TMEM242,NDUFB4,MPC2,,,,,,MYL12A,,IFRD1,MARCKSL1,,KLRG1,,IL32,,,NSFL1C,RAB11B,,,,P4HB,RPS25,,,,,,,,RIT1,,UBE2D3,,,,,PFDN6,,,,,,,,,PCSK7,,SNX6,,,,,RALGAPA1,,CTSC,,LUC7L3,,,,
,,TMEM243,NEIL1,MRPL1,,,,,,MYOM2,,IGBP1,MATK,,KLRK1,,ING2,,,NT5C,RAB2A,,,,PARP10,RPS6,,,,,,,,RNASEH2B,,UBE2I,,,,,PHF5A,,,,,,,,,PDE4D,,SOD2,,,,,RBM3,,CTSD,,LYN,,,,
,,TMEM59,NFE2L2,MRPL10,,,,,,NAA38,,IL32,MAZ,,KMT2C,,INSIG1,,,NUDT5,RAB8B,,,,PBX2,RPS7,,,,,,,,RNF10,,UBE2R2,,,,,PHIP,,,,,,,,,PDS5B,,SPPL3,,,,,RELB,,CTSO,,LYRM1,,,,
,,TNFAIP8,NGDN,MRPL24,,,,,,NCOA1,,ILKAP,MBP,,KPNA2,,IQGAP2,,,NUFIP2,RAC1,,,,PCF11,RSL24D1,,,,,,,,RNF113A,,UBTF,,,,,PIK3CD,,,,,,,,,PDXDC1,,SSBP1,,,,,RER1,,CWC15,,LYRM7,,,,
,,TOP2B,NGRN,MRPL3,,,,,,NDUFA1,,INSIG1,MCM3,,KXD1,,IRF2,,,NUTF2,RANBP1,,,,PDIA6,RTN3,,,,,,,,RNF13,,UPF3A,,,,,PIN1,,,,,,,,,PDZD8,,STAT3,,,,,RGS19,,CXXC5,,MAGOH,,,,
,,TPR,NHP2,MRPL42,,,,,,NDUFA13,,ISCA1,ME2,,LBR,,ISOC1,,,PARK7,RBBP7,,,,PDS5A,S100A4,,,,,,,,RPS24,,USF2,,,,,PLCB2,,,,,,,,,PFKL,,STAU2,,,,,RHOB,,CYB5B,,MALT1,,,,
,,TRAF3IP3,NIN,MRPS18B,,,,,,NDUFS2,,IST1,MED28,,LENG8,,ITGAL,,,PARP1,RBCK1,,,,PEX16,S1PR4,,,,,,,,RPS6KA4,,USP12,,,,,PMF1,,,,,,,,,PFKP,,STOM,,,,,RIPK2,,CYP20A1,,MAP3K8,,,,
,,TXNIP,NOL10,MRPS5,,,,,,NDUFS5,,JAK1,MED4,,LGALS1,,JARID2,,,PCMT1,RFC2,,,,PFN1,SACM1L,,,,,,,,S100A6,,USP16,,,,,PPIA,,,,,,,,,PGAM1,,SUGT1,,,,,RNF181,,DAZAP1,,MAPRE2,,,,
,,UBA2,NOP56,MX1,,,,,,NEMF,,JTB,MGST3,,LRP10,,JOSD2,,,PDCD6,RHOF,,,,PGK1,SAE1,,,,,,,,SART1,,USP48,,,,,PPP1R15B,,,,,,,,,PIM1,,SUPT16H,,,,,RPL28,,DAZAP2,,MAT2B,,,,
,,UBE2J2,NR4A3,MZF1-AS1,,,,,,NGRN,,KARS,MIDN,,LSM3,,KLC1,,,PDIA6,RNPEP,,,,PIAS1,SAFB,,,,,,,,SEL1L3,,VPS25,,,,,PPP4C,,,,,,,,,PIN4,,TADA3,,,,,RSAD1,,DBI,,MATK,,,,
,,UBE2Q1,OGDH,NAA38,,,,,,NIFK,,KCNAB2,MIR22HG,,LSM5,,KLHL24,,,PFN1,RPL15,,,,PIGC,SAP18,,,,,,,,SETD2,,WIPF1,,,,,PRDX2,,,,,,,,,PLAC8,,TBCA,,,,,RTCB,,DCAF13,,MCRIP1,,,,
,,UBLCP1,OXR1,NDUFS3,,,,,,NNT,,KIAA1143,MLF2,,LSP1,,KLRB1,,,PHF11,RPL23,,,,PIH1D1,SCFD1,,,,,,,,SH2D2A,,XRN2,,,,,PRKRIP1,,,,,,,,,PLD3,,TES,,,,,RTN4,,DCUN1D5,,MCTP2,,,,
,,UPF2,PCED1B-AS1,NEU1,,,,,,NOL7,,KLF10,MMADHC,,LYRM1,,KLRD1,,,PHTF1,RPL24,,,,PITPNC1,SDHC,,,,,,,,SLF1,,ZBTB44,,,,,PRMT2,,,,,,,,,PLPP5,,THAP1,,,,,SAMD9L,,DDB1,,MDH1,,,,
,,UQCRC2,PDAP1,NFATC2IP,,,,,,NR3C1,,KLF12,MMP23B,,LYRM7,,KMT2A,,,PIAS1,RPL29,,,,PLEK,SERF2,,,,,,,,SLFN5,,ZC3H18,,,,,PRSS23,,,,,,,,,PMM1,,THEM4,,,,,SDF4,,DDB2,,MDH2,,,,
,,USP3,PFDN6,NIPA2,,,,,,NR4A2,,KLHDC2,MOB4,,LYST,,KMT2C,,,PITPNC1,RPL32,,,,PMF1,SERP1,,,,,,,,SLMAP,,ZYX,,,,,PSMC1,,,,,,,,,PMPCB,,THOC3,,,,,SEC61G,,DDIT4,,MDM4,,,,
,,WAPL,PFKP,NMI,,,,,,NSMCE4A,,KLRG1,MRPL12,,MACF1,,KMT2E-AS1,,,PKM,RPL39L,,,,PNN,SETD3,,,,,,,,SLU7,,,,,,,PSMD8,,,,,,,,,POLR2F,,THUMPD3-AS1,,,,,SERPINB1,,DDRGK1,,ME2,,,,
,,WTAP,PIAS2,NOTCH1,,,,,,OSBPL5,,KMT5B,MRPS16,,MAP2K2,,KPNA2,,,POLR2C,RPLP1,,,,PNPLA2,SF3B2,,,,,,,,SMAGP,,,,,,,PSME2,,,,,,,,,POLR2K,,TIMM10,,,,,SF3B6,,DDT,,MECP2,,,,
,,XRN2,PIGP,NPEPPS,,,,,,OST4,,KPNA3,MRPS18C,,MAPK1,,KXD1,,,PPIE,RPS5,,,,PPM1K,SF3B5,,,,,,,,SMARCA2,,,,,,,PSTPIP1,,,,,,,,,PPIE,,TLK1,,,,,SIPA1,,DDX21,,MED28,,,,
,,YPEL1,PIM1,NSUN6,,,,,,P4HB,,LAIR1,MRPS33,,MAPRE2,,LAIR1,,,PPP1R18,RPS6,,,,PPP1CC,SLC25A11,,,,,,,,SPON2,,,,,,,PTBP3,,,,,,,,,PPM1A,,TMEM19,,,,,SLC20A1,,DDX39A,,MED6,,,,
,,ZBTB43,PMPCA,NT5C,,,,,,PARK7,,LAMTOR1,MRPS36,,MCTP2,,LAIR2,,,PPP2CA,RPS7,,,,PRKACB,SLC39A8,,,,,,,,SSH2,,,,,,,PTGES3,,,,,,,,,PPP1R35,,TMEM230,,,,,SLC25A38,,DDX3Y,,METTL9,,,,
,,ZC3H13,PNRC1,OGFR,,,,,,PEBP1,,LCP1,MSN,,ME2,,LAPTM5,,,PRKACB,RPS8,,,,PRKCSH,SNAPC5,,,,,,,,SSR3,,,,,,,PYURF,,,,,,,,,PPP1R7,,TNRC6A,,,,,SLC25A45,,DDX5,,MGAT1,,,,
,,ZCCHC7,PPP1CA,OIP5-AS1,,,,,,PFDN5,,LDHA,MTCH2,,MED17,,LARP7,,,PRKAG1,RSF1,,,,PRPF31,SNHG5,,,,,,,,STXBP2,,,,,,,RALY,,,,,,,,,PPP1R9B,,TOMM22,,,,,SLC38A10,,DDX6,,MICU2,,,,
,,ZDHHC4,PPP1CC,OSBPL5,,,,,,PFN1,,LETM1,MYL12A,,MGRN1,,LDHB,,,PRKCB,RSU1,,,,PSMA3,SNRPB,,,,,,,,SUN2,,,,,,,RANBP1,,,,,,,,,PPT1,,TPP2,,,,,SLC39A10,,DECR1,,MIDN,,,,
,,ZFP36L2,PPP1R11,OSER1,,,,,,PGAM1,,LGALS9,N4BP2L1,,MICU2,,LEPROTL1,,,PSIP1,SDCBP,,,,PSMA4,SNU13,,,,,,,,SYNJ2BP,,,,,,,RAPGEF6,,,,,,,,,PRDX6,,TRIM33,,,,,SLC52A2,,DENND1B,,MITD1,,,,
,,ZMYM5,PPP1R12A,OSTC,,,,,,PGK1,,LMAN1,NAAA,,MIER1,,LGALS9,,,PSMA3-AS1,SDHB,,,,PSMD8,SOD1,,,,,,,,TAGAP,,,,,,,RASA2,,,,,,,,,PRKRA,,TRMT13,,,,,SMAD3,,DENND2D,,MLC1,,,,
,,ZMYND11,PPP1R2,OTUD5,,,,,,PGLS,,LSM5,NBR1,,MIS18BP1,,LIMD2,,,PSMC1,SERBP1,,,,PSMD9,SPAG9,,,,,,,,TAGLN2,,,,,,,RASGEF1B,,,,,,,,,PSMB6,,TSPAN3,,,,,SMARCA5,,DENND4B,,MNT,,,,
,,ZNF131,PPP1R35,OXNAD1,,,,,,PHF11,,LYRM1,NCAPH2,,MLF2,,LINC00299,,,PSMC2,SERP1,,,,PYCR2,SPOP,,,,,,,,TANK,,,,,,,RBL2,,,,,,,,,PSMB8,,TSPYL2,,,,,SNHG17,,DERL1,,MRPL20,,,,
,,ZNF226,PPP2R5E,PAIP2,,,,,,PLAC8,,MAP4K4,NCKAP1L,,MOSPD3,,LLGL2,,,PSMF1,SLC25A1,,,,RAB11A,SREK1IP1,,,,,,,,TCP11L2,,,,,,,RBM5,,,,,,,,,PTGDR,,TXN2,,,,,SNRPB,,DFFA,,MRPL42,,,,
,,ZNF518A,PPP3CC,PARP10,,,,,,PLCL2,,MBD4,NDUFAF4,,MRPL51,,LMBR1L,,,PTS,SLC25A33,,,,RAB18,SRP14,,,,,,,,TES,,,,,,,RHEB,,,,,,,,,PTPN4,,TYK2,,,,,SRP9,,DGUOK,,MRPL47,,,,
,,ZNF644,PPP4R3A,PDCD5,,,,,,PLEKHF1,,MCRIP2,NDUFB2,,MRPS12,,LPIN1,,,R3HCC1,SLC39A10,,,,RAB5B,SRRM1,,,,,,,,TGFB1,,,,,,,RORA,,,,,,,,,QKI,,UBA1,,,,,SRPRA,,DHRS3,,MRPL54,,,,
,,ZNF800,PRKRA,PDE4A,,,,,,PNRC2,,MCRS1,NDUFB6,,MRPS33,,LSM1,,,RAB8B,SLTM,,,,RANGRF,SSRP1,,,,,,,,TGFBR3,,,,,,,RPA3,,,,,,,,,QRICH1,,UBE2G2,,,,,SRSF4,,DHX30,,MYOM2,,,,
,,,PRPF4B,PDE4D,,,,,,POLE4,,MDP1,NDUFC1,,MRPS36,,LUC7L3,,,RACK1,SNF8,,,,RASSF1,SSU72,,,,,,,,TGOLN2,,,,,,,RPL7,,,,,,,,,RAB11A,,UBE2R2,,,,,SRSF6,,DHX40,,N4BP2L1,,,,
,,,PRSS23,PDS5A,,,,,,POLR2F,,MED13L,NDUFS2,,MSL2,,LY75,,,RAD51-AS1,SNHG5,,,,RBM8A,STAU1,,,,,,,,THYN1,,,,,,,RPN2,,,,,,,,,RAB18,,UGGT1,,,,,SRSF7,,DIAPH1,,NAA20,,,,
,,,PSMB8,PEX2,,,,,,POLR2K,,MED30,NDUFS4,,MYCBP2,,LYST,,,RAD9A,SNRNP200,,,,RERE,STIP1,,,,,,,,TIMM10,,,,,,,RPS11,,,,,,,,,RABGGTA,,UPF3A,,,,,SRSF8,,DNAJB14,,NABP2,,,,
,,,PSME2,PFDN2,,,,,,POMP,,MED6,NDUFS6,,NAA10,,MAP2K2,,,RALY,SNRPB,,,,RHOC,STOML2,,,,,,,,TIPRL,,,,,,,RPS21,,,,,,,,,RAD9A,,UQCRQ,,,,,SSR2,,DNAJC19,,NBR1,,,,
,,,PTGER2,PGRMC2,,,,,,PPP1R15A,,METTL23,NDUFS7,,NAA20,,MAP2K3,,,RAMP1,SPOP,,,,RHOH,STT3B,,,,,,,,TMED3,,,,,,,RPS4Y1,,,,,,,,,RAN,,USP12,,,,,STARD3NL,,DNAJC4,,NCKAP1L,,,,
,,,PTK2B,PHF14,,,,,,PPP1R18,,METTL5,NDUFV2,,NAP1L4,,MAP4K1,,,RANBP1,SQSTM1,,,,RNF181,SUMO3,,,,,,,,TMEM14B,,,,,,,RPUSD3,,,,,,,,,RANBP3,,USP16,,,,,STX10,,DNAJC8,,NCL,,,,
,,,PTTG1IP,PIK3CD,,,,,,PPP1R7,,MGST3,NEDD1,,NCKAP1L,,MAT2A,,,RANBP2,SRP54,,,,RNMT,SYAP1,,,,,,,,TMEM35B,,,,,,,RTN3,,,,,,,,,RAP1B,,USP34,,,,,SUB1,,DPP9,,NDUFA7,,,,
,,,RAB29,PIK3R1,,,,,,PPP2CA,,MICU2,NELFCD,,NCL,,MCRIP1,,,RCBTB2,SRRM1,,,,ROCK1,TAF7,,,,,,,,TMUB1,,,,,,,RTN4,,,,,,,,,RASA3,,VGLL4,,,,,SUMO1,,DPY30,,NDUFB4,,,,
,,,RBM18,PITPNC1,,,,,,PRCC,,MIS12,NEMF,,NDUFA8,,MCTP2,,,RGCC,SSR2,,,,RORA,TIMM13,,,,,,,,TNFAIP8,,,,,,,SAE1,,,,,,,,,RBM25,,WAC,,,,,SUN2,,DTNBP1,,NENF,,,,
,,,RBM22,PLD3,,,,,,PRKAR1A,,MITD1,NIN,,NDUFB5,,ME2,,,RNF115,STARD3,,,,RPL22L1,TIMM44,,,,,,,,TOR1A,,,,,,,SAMD9,,,,,,,,,RBMS1,,WAC-AS1,,,,,SYF2,,DUSP5,,NFATC2,,,,
,,,RC3H1,PLSCR1,,,,,,PRPF4B,,MMAB,NKAP,,NDUFB8,,MEA1,,,RNF126,TCEA1,,,,RPL26L1,TMBIM1,,,,,,,,TUBA4A,,,,,,,SAP18,,,,,,,,,RCC2,,WDR43,,,,,SYT5,,EAPP,,NFKBID,,,,
,,,RCOR3,PNKD,,,,,,PSMB10,,MRPS18C,NKG7,,NDUFS3,,MED15,,,RNF181,TDG,,,,RSRP1,TMED9,,,,,,,,TULP4,,,,,,,SATB1,,,,,,,,,RECQL,,WDR45,,,,,TADA3,,EBP,,NFYB,,,,
,,,RIC8A,PNRC1,,,,,,PSMB2,,MRPS21,NME2,,NDUFS7,,METTL23,,,RNMT,TERF1,,,,S100A10,TMEM138,,,,,,,,TXN2,,,,,,,SDHC,,,,,,,,,REL,,WDR55,,,,,TAF12,,ECI2,,NGLY1,,,,
,,,RNF187,POLR2G,,,,,,PSMB7,,MRPS28,NMT1,,NENF,,MIB2,,,RPL12,TESC,,,,S100A9,TMSB10,,,,,,,,UBA1,,,,,,,SEC14L1,,,,,,,,,RFC2,,YES1,,,,,TBC1D22A,,EDEM2,,NKG7,,,,
,,,RNF44,POP5,,,,,,PSMC2,,MRPS31,NNT,,NFATC2IP,,MITD1,,,RPL13,TFDP1,,,,SAMHD1,TPGS1,,,,,,,,UBE2D2,,,,,,,SERBP1,,,,,,,,,RGS3,,ZNF32,,,,,TCEA1,,EFHD2,,NOL10,,,,
,,,RNMT,PPP1R12A,,,,,,PSMD7,,MRPS35,NR4A2,,NIPBL,,MOB2,,,RPL26L1,TMED3,,,,SAT1,TRAM1,,,,,,,,UBE2Q1,,,,,,,SERF2,,,,,,,,,RMDN1,,ZNF394,,,,,TCIRG1,,EHMT1,,NOL7,,,,
,,,RPL27,PPP4R3A,,,,,,PTMA,,MSL2,NTMT1,,NLRC5,,MPHOSPH8,,,RPL3,TMEM126B,,,,SCNM1,TTC39C,,,,,,,,USE1,,,,,,,SETD3,,,,,,,,,RNF213,,ZNF451,,,,,TCP1,,EIF1,,NOSIP,,,,
,,,RPL7,PPP6R1,,,,,,PTPN18,,MT1X,NUDC,,NRROS,,MRPL14,,,RPL36,TMSB10,,,,SDF2L1,TXNIP,,,,,,,,USP24,,,,,,,SF3A3,,,,,,,,,RNF41,,ZNF493,,,,,TFPT,,EIF2S1,,NRDC,,,,
,,,RPS19,PRKACB,,,,,,PTPN7,,MTFP1,NUFIP2,,NUBP2,,MRPL40,,,RPL4,TMX1,,,,SEC23IP,UBA6,,,,,,,,USP39,,,,,,,SF3B2,,,,,,,,,RNMT,,,,,,,TMC8,,EIF3D,,NUP107,,,,
,,,RPS19BP1,PRKAG2,,,,,,PTPRA,,MTMR9,ODC1,,NUCKS1,,MRPL48,,,RPL6,TNPO1,,,,SECISBP2,UFM1,,,,,,,,USP47,,,,,,,SH3GLB1,,,,,,,,,RPL30,,,,,,,TMEM106B,,EIF3I,,OFD1,,,,
,,,RPS2,PRKCQ-AS1,,,,,,RAB11A,,MVD,OGT,,NUTF2,,MRPL57,,,RPN1,TOMM7,,,,SERF2,UGGT1,,,,,,,,VCPKMT,,,,,,,SIVA1,,,,,,,,,RPS7,,,,,,,TMUB1,,EIF3K,,OGFR,,,,
,,,RPS26,PRRC2C,,,,,,RAB8A,,MYL12A,OLA1,,NUTM2A-AS1,,MRPS18A,,,RPS15,TPR,,,,SERP1,UQCC2,,,,,,,,VDAC2,,,,,,,SLC25A5,,,,,,,,,RSRC2,,,,,,,TNFRSF18,,EIF3L,,OGT,,,,
,,,RPS27L,PSMA1,,,,,,RACK1,,NABP1,OSBPL5,,OAZ1,,MRPS23,,,RPS18,TRABD,,,,SF3A2,UQCR10,,,,,,,,VPS36,,,,,,,SLC2A3,,,,,,,,,S100B,,,,,,,TNIP2,,EIF3M,,OSBPL8,,,,
,,,RPS4X,PSMA3-AS1,,,,,,RAP1B,,NCAM1,PA2G4,,ORMDL2,,MRPS36,,,RPS19BP1,TRIM33,,,,SF3B4,UQCR11,,,,,,,,WDFY2,,,,,,,SLTM,,,,,,,,,SAMD9,,,,,,,TP53I13,,EIF4A1,,OSTF1,,,,
,,,RRAS2,PSTPIP1,,,,,,RBM22,,NDE1,PAIP2,,OSTC,,MRPS6,,,RPS27A,TRIM52-AS1,,,,SFI1,USP34,,,,,,,,YPEL3,,,,,,,SMC3,,,,,,,,,SDHAF2,,,,,,,TRMT112,,EIF4A2,,OSTM1,,,,
,,,RRBP1,PTP4A2,,,,,,RHOA,,NDFIP1,PARK7,,OSTM1,,MTA1,,,RPS5,TSG101,,,,SFPQ,USP39,,,,,,,,ZAP70,,,,,,,SMG1,,,,,,,,,SEC14L1,,,,,,,TSPAN31,,EIF4G2,,OTULIN,,,,
,,,S1PR5,PTPN12,,,,,,RHOT2,,NDUFA11,PDIA3,,OTUD5,,MTDH,,,RPS6KB2,TTC17,,,,SH3BGRL,VMA21,,,,,,,,ZFP36,,,,,,,SNF8,,,,,,,,,SEL1L3,,,,,,,TSPAN32,,EIF5A,,OXLD1,,,,
,,,SAMD3,PTPN18,,,,,,RNF10,,NDUFA13,PDS5B,,PABPN1,,MTERF4,,,RSRC1,TUFM,,,,SHKBP1,VPS26A,,,,,,,,ZFP36L1,,,,,,,SNHG15,,,,,,,,,SERPINB1,,,,,,,TSPO,,ELK4,,PAK2,,,,
,,,SARAF,PTPRE,,,,,,RNF167,,NDUFA5,PEF1,,PAPOLA,,MTX1,,,RUNX1,UBB,,,,SKAP2,VPS4A,,,,,,,,ZNF292,,,,,,,SNU13,,,,,,,,,SERPINB6,,,,,,,TTC32,,EMC10,,PARP8,,,,
,,,SART1,PUM2,,,,,,RPL13A,,NDUFA8,PFKP,,PARP10,,MXD4,,,RUVBL2,UBE2E3,,,,SKP1,WDR1,,,,,,,,ZNF331,,,,,,,SNX5,,,,,,,,,SFXN3,,,,,,,TXNDC12,,EML3,,PARVG,,,,
,,,SCAMP3,RAB27A,,,,,,RPL15,,NDUFB4,PFN1,,PARP14,,MZF1-AS1,,,SAP30BP,UBE2I,,,,SLC25A36,WDR61,,,,,,,,ZNF394,,,,,,,SPAG7,,,,,,,,,SIPA1,,,,,,,U2AF1L4,,ENO1,,PDCD4,,,,
,,,SCYL2,RAB28,,,,,,RPL22L1,,NDUFC1,PHF21A,,PCBP2,,MZT1,,,SDHB,UBE2J1,,,,SLC9A3R1,XRCC6,,,,,,,,ZNF429,,,,,,,SPON2,,,,,,,,,SIRT7,,,,,,,UBE2D2,,ENY2,,PDCD6IP,,,,
,,,SDCBP,RABGAP1L,,,,,,RPL27A,,NFKB2,PHPT1,,PCF11,,NAA50,,,SDHC,UBE2J2,,,,SLU7,YBX1,,,,,,,,ZNF487,,,,,,,SSR1,,,,,,,,,SLA,,,,,,,UBE2D3,,EOMES,,PDE4B,,,,
,,,SDHAF2,RAD23B,,,,,,RPL28,,NFKBIB,PLAC8,,PCNP,,NAF1,,,SEC61B,UQCC3,,,,SMAD2,YWHAE,,,,,,,,ZNF600,,,,,,,SSRP1,,,,,,,,,SLC16A3,,,,,,,UBE2F,,EP300,,PDE4D,,,,
,,,SETX,RAE1,,,,,,RPL29,,NGDN,PLEK,,PDIA3,,NARF,,,SERBP1,UQCRC2,,,,SMAP1,YWHAQ,,,,,,,,ZNF644,,,,,,,STARD3,,,,,,,,,SLC20A1,,,,,,,UBE2K,,EPC1,,PDS5B,,,,
,,,SH3BP5,RALY,,,,,,RPL32,,NGRN,PLEKHA2,,PFN1,,NCOR1,,,SET,UQCRFS1,,,,SMARCA5,,,,,,,,,,,,,,,,STK17B,,,,,,,,,SLC38A1,,,,,,,URM1,,EPS15,,PECAM1,,,,
,,,SH3GLB1,RAN,,,,,,RPL5,,NHP2,PNKP,,PHF11,,NDUFA1,,,SF1,UQCRH,,,,SMC4,,,,,,,,,,,,,,,,STUB1,,,,,,,,,SLC5A3,,,,,,,USB1,,ERBB2,,PER1,,,,
,,,SIPA1,RAP1B,,,,,,RPL6,,NIPBL,POFUT2,,PHIP,,NDUFA10,,,SF3B2,UQCRQ,,,,SMS,,,,,,,,,,,,,,,,SUCLG1,,,,,,,,,SMARCE1,,,,,,,VEZF1,,ERCC1,,PEX19,,,,
,,,SLC25A3,RBCK1,,,,,,RPL7A,,NMRK1,POLE3,,PIH1D1,,NDUFA5,,,SF3B6,URM1,,,,SNHG3,,,,,,,,,,,,,,,,SUPT16H,,,,,,,,,SMC4,,,,,,,VPS37B,,ERH,,PGK1,,,,
,,,SLTM,RBM25,,,,,,RPL8,,NORAD,PPM1A,,PIN4,,NDUFA6,,,SFPQ,VMP1,,,,SNRNP200,,,,,,,,,,,,,,,,SYF2,,,,,,,,,SMCHD1,,,,,,,WDR43,,ERI3,,PHB2,,,,
,,,SMCHD1,RBM3,,,,,,RPLP1,,NOTCH1,PPP1CB,,PNRC2,,NDUFS5,,,SFT2D1,VRK3,,,,SNRPB2,,,,,,,,,,,,,,,,TAGAP,,,,,,,,,SMYD4,,,,,,,XBP1,,ERICH1,,PIGK,,,,
,,,SMIM7,RBM38,,,,,,RPS12,,NPEPPS,PPP1R10,,POLDIP3,,NEDD8,,,SGK3,WASF2,,,,SOX4,,,,,,,,,,,,,,,,TALDO1,,,,,,,,,SNHG3,,,,,,,ZBTB20,,ERICH6-AS1,,PKM,,,,
,,,SPON2,RCN2,,,,,,RPS16,,NPTN,PRDX6,,POLR1D,,NELFCD,,,SHKBP1,WDR61,,,,SP100,,,,,,,,,,,,,,,,TCIRG1,,,,,,,,,SNRK,,,,,,,ZNF281,,ERP44,,PKN1,,,,
,,,SPTY2D1,REST,,,,,,RPS19,,NR4A3,PRF1,,POU2F2,,NEMF,,,SIRT7,YTHDF2,,,,SPCS2,,,,,,,,,,,,,,,,TESC,,,,,,,,,SNW1,,,,,,,ZNF701,,ESYT1,,PLEKHA1,,,,
,,,SRM,RFC2,,,,,,RPS24,,NRROS,PRKAG1,,PPID,,NFKB2,,,SKP1,ZDHHC4,,,,SREK1,,,,,,,,,,,,,,,,TFDP2,,,,,,,,,SNX10,,,,,,,ZNF814,,ESYT2,,PLEKHA2,,,,
,,,SRSF4,RICTOR,,,,,,RPS26,,NUB1,PSIP1,,PPP1CC,,NGDN,,,SLC16A3,ZFAND2B,,,,SRP14,,,,,,,,,,,,,,,,TFPT,,,,,,,,,SPPL3,,,,,,,,,ETFA,,PMF1,,,,
,,,SRSF7,RMDN1,,,,,,RPS27L,,NUBP2,PSMA6,,PPP1R10,,NGRN,,,SLC25A38,ZFP36,,,,SRP9,,,,,,,,,,,,,,,,THEMIS2,,,,,,,,,SPSB3,,,,,,,,,ETFB,,PNISR,,,,
