ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
BCAP29,ANKRD28,DDIT3,HSP90B1,ASAP1,ARHGAP5,ADIPOR1,ARHGAP9,ALKBH5,ACTR6,AP3B1,ASB8,N4BP2L2,ANAPC13,ASAH1,ACSL5,FAM102B,CCDC82,BRI3,DCAF5,AIMP2,ACAD8,AKAP11,AK3,APPL1,ASXL1,ASXL1,AGO1,ADO,OLA1,ABHD2,BAG4,ATG12,ADAM17,ACTB,ATAD2,ALDOC,CENPL,BACH2,APOBR,ANKRD37,CPD,ADGRG1,C4orf33,,ARHGEF18,C2orf74,ADIPOR2,CHD8,ASB7,ALG5,ACSS1,ANXA11,ACOT9,GAS7,ACTR6,ACP1,ACYP2,ABT1,CBR4,ATP5J,CDK5RAP2,AMMECR1,ALDOC,ATF6B,KCMF1,BTBD7,ANKRD49,AFF1,ADIPOR1,AMZ2,CUTA,ATG4C,BBC3,ARF4,ARL4A,AGO2,ACTR3,ANAPC15,AP1G1,ABHD2,ARID1B,ATF7,CDK12,AGPAT4,DDA1,AZIN1,BIRC2,ANKRD44-IT1,COX5B,ARF3,CAPN10,,ARHGEF6,ATL3,BFAR,ANKRD36,ACOX3,CPSF3,ACTR3,CD46,CD82,ATXN3,AKAP13,COX14,DNAJC5,CARD8,AP3D1,ALKBH5,ACSL4,ACTA2,ALOX5AP,ARFGEF1,BRD1,ATAD1,FBXW4,CAPN2,ACIN1,CLASRP,AKT3,ARHGAP10,CCNY,C3orf38,ARAP2,COX15,ARID1A,ARMC1,ACYP2,DBNL,MCRS1,S1PR2
BTAF1,AP1S1,DEDD,IFRD1,ASH1L-AS1,ARID3B,ADK,ARPC3,ANAPC16,ADAM10,ARAP2,ATF2,NFKBID,ANAPC15,ASXL1,ACSS1,FOXK1,CDC27,CD2AP,E2F6,AKAP5,ACBD6,ALKBH5,AKR1C3,ATP6V1C1,ATF7IP,ATP2A2,ALAS1,AGFG1,PLPP5,ABLIM1,BANP,ATP6V1C1,ADAM8,ACTG1,ATF4,ANAPC10,CIC,CCDC14,APTX,ANKRD40,CYTIP,AFF1,CAPN1,,ARID1B,CADM1,AFTPH,CLINT1,ASXL1,AMPD2,ACTR1B,ANXA6,ACTG1,IFITM1,ADAR,ACSF3,ADAM17,ACAA1,CCDC47,BBX,CEBPD,ANKH,ANGEL2,ATP2A3,KIF20B,C9orf40,ARHGEF2,AGL,AFTPH,ANAPC10,DERL3,ATIC,BBIP1,ARHGAP26,ASAP1,ALYREF,ADAM17,AP1B1,ARHGEF6,ABHD5,ARL8B,ATG5,CEP350,AIP,DDX19B,BACH2,BIRC3,APPL2,CRYZ,ARFGAP3,CAPRIN2,,ASB6,ATXN2,BLOC1S3,AP2M1,ACTA2,CXXC5,ADAM17,CDK11A,CDC42,BACH1,AKTIP,CPNE1,DR1,CASD1,APMAP,ANAPC1,ACTA2,ACTR2,ANGEL2,ARHGEF7,BTAF1,ATF2,FDFT1,CBL,ACTR2,CLIC3,ANKRD10,ARL17A,CDC123,CAPN7,ARFIP1,CPD,ARID2,ARMC8,ADIPOR1,DNMT1,MFSD14C,SEC23B
BTN3A3,ARIH1,DNAJC25,ITGA6,ASXL2,ARL14EP,ADRM1,ASAH1,ANKRD37,AGAP2,ARF6,ATG4B,NFKBIL1,ANAPC5,ATG4C,ACTG1,GAB3,CEBPZOS,CDC14A,EHD4,ANAPC10,ACIN1,ANKHD1,ARF3,BCAP31,ATL3,BBS4,ALDH3A2,AHI1,PMEPA1,ACAA1,C11orf21,ATXN7L3B,ADD3,ACYP2,ATG3,ANKRD37,COLGALT2,CCDC50,ARHGAP10,ANKRD54,DOCK10,AGGF1,CBFB,,ARRDC1-AS1,CAPN2,AGO3,DCAF5,ATAD2,ANKRD11,ACTR2,APBA3,ACTR3,IFRD1,ADCK2,ACSL3,ADAM8,ACAD8,CD2AP,BRWD1,CFAP97,ANKRD37,ANKMY2,ATP8B4,MAFG,CDK16,ARL2BP,AGPAT3,AHCTF1,ANAPC4,DUS1L,ATP13A1,BNIP3,ARID4B,ASL,ANAPC1,ADAP1,AP1M1,ARNT,ABI1,ASAP1,C12orf10,CFL2,AKAP13,DNAJA4,BANP,BNIP3L,ARHGAP25,DBI,ATF7,CASP4,,ATP2B4,ATXN2L,BRD2,AP3S1,ACTR2,DPP9,ADAM8,CEP135,CEP44,BACH2,ALDH18A1,DR1,EDEM2,CCDC82,ARGLU1,ANAPC5,ACTG1,ACYP1,ANGPT2,ARPC1A,BTN3A1,ATG10,FMR1,CBR4,ADAM10,CNOT4,AP1AR,ARMCX3,CDC42EP3,CCT3,ARHGAP26,DBR1,ATP6V1H,ARRB1,AHCY,FAM200A,PHRF1,SLC25A33
C1GALT1,ARPC1A,EEF1A1,MGEA5,ATP1A1,ASH1L,ADSS,ASAP1,AP1G1,AGTRAP,ARHGEF7,ATP10D,PDCD10,ANKRD9,ATIC,ADGRG1,HINT3,CLN8,CLIP1,FAM102A,ANKFY1,ACOX3,ANKRD17,ATG16L2,BCL7C,AUTS2,BCL6,ALG3,AKAP5,TRA2A,ACAA2,C17orf67,B3GNT2,AGTRAP,ADAM10,ATP5L,ANKRD9,CSNK1G3,CD164,ARHGEF1,ANXA7,DTX3,AGPAT2,CCPG1,,ATF7IP2,CBX3,AKAP8L,DEXI,ATN1,ANKRD54,ACTR3,APOL1,ADAR,IRF8,ADGRG5,ACSL5,ADAP1,ACADVL,CMSS1,C18orf25,CHD7,AP1AR,ANKRD13A,ATR,NAGPA,CDKN1A,ARMCX6,AHI1,AHDC1,ANKHD1,EIF2AK4,AURKAIP1,CAMK1D,ARID5B,ATG2A,ANKLE2,ADO,AP2A2,ARPC2,ABI2,ATAD2B,C2orf76,CPNE1,AKAP8,DTWD1,BAZ1A,BTG1,ARL4A,DDIT4,AUTS2,CBX1,,ATP6V1A,C14orf2,CCNL1,APTX,ACTR3,EIF1AY,ADAR,CLASRP,CFAP20,BTF3L4,AP1M1,EIF3J,ERCC4,CHMP2A,ARMC7,ARCN1,ACTR2,ADAR,ANKFY1,ATP2B4,CDK11B,BBX,FNIP1,CCDC146,ADAR,CSNK1G2,APPL1,ATL2,CERK,CENPC,ARHGEF3,DICER1,ATP8A1,ARRDC3,AHDC1,FAM32A,PLCG2,SNX5
CAPZA2,ASAH1,EEF1B2,MTDH,ATP6V1H,ATXN7,AFF4,ATE1,ARAF,AHSA1,ARID4A,ATP6AP2,PIBF1,AP1S1,ATP13A1,ADI1,HSD17B7,CNST,COA6,FCHSD1,ANKRD26,ACSL3,ANKZF1,ATP5G2,BOLA2,BCOR,BLM,ANAPC11,AKAP8L,ZNF644,ACAP2,CAMK2G,BTN2A1,AK6,ADGRG1,ATXN1L,ANXA7,DENND2D,CDKN2AIP,ARL1,AP3S2,EIF4A3,AKR1B1,CCT2,,ATP8A1,CHKB,ALDH18A1,E2F6,ATP11B,AP3S2,ADAM10,APOL2,ADI1,KIR2DL1,ADI1,ACTB,ADGRG1,ACAP2,DDX19B,C7orf50,CNDP2,AP1S2,ANKRD27,BAG4,NEK1,CEP350,ARRDC1,AK3,AKIRIN2,ANKIB1,ERLEC1,B2M,CAMTA1,ASNSD1,ATP1B3,ANKRD28,AFTPH,AP2S1,ATAD2,ABL1,ATXN7L3B,C9orf40,CREB1,AKIRIN1,EIF1AD,BCAS2,C17orf49,ASCC3,DPP3,BCAP29,CCND3,,ATRX,C17orf80,CDKN1B,ASXL2,ACTR6,ELMSAN1,ADGRG1,COPS7A,CMKLR1,C16orf87,AP2A2,FDXR,FBXO32,CISD3,ASB8,ARF1,ACYP2,ADAT2,ANKRD49,ATP2C1,CHMP4B,BIRC6,FOXK1,COX18,ADD1,CUL4B,ARHGAP26,AZI2,COMMD5,CERS5,ARID1A,DNAJB14,BACH1,ASXL1,AIFM1,G6PD,PRR7,SSH1
CARNMT1,ATF3,EEF1G,NABP1,ATXN1,AVL9,AGO4,ATF7,ARCN1,ALDH7A1,ARIH2OS,ATP6V1H,PLEKHO1,AP5Z1,ATP6V1C1,ADSL,ING2,COMMD2,DBP,GLS,ANXA2R,ACTG1,APOL2,BCL2L13,BOLA3,CASP8AP2,C16orf87,ANKAR,AKAP9,ZNF84,ACIN1,CAPN1,C16orf91,AKAP8L,ADPRHL2,BEX4,AP5Z1,DFFA,CELF2,ATAD2B,ARCN1,FOXN3,AKTIP,CDKN2A,,B3GAT3,CHMP5,ANKRD10,EML4,ATP8A1,ARF1,ADAM17,ARL1,ADPRM,LITAF,ADNP,ACTG1,ADRM1,ACP1,DUS3L,CBL,COTL1,API5,ANXA1,BAG6,NIN,CHMP6,ASAP1,AKAP7,ANAPC5,ANKRD10,FBXL12,B4GALT7,CAND1,ASTE1,BACH1,ANKRD37,AGO2,AP5M1,ATL3,ACAA2,AZI2,C9orf72,CSNK1G3,AKIRIN2,EIF2AK1,BCL2,CCDC107,ATG4D,EDC4,C17orf49,CEP164,,BAG4,C8orf76,CHD2,ATF1,ACYP1,EXOC3,ADH5,CRACR2A,CMTM3,C1GALT1,AP3B1,FNIP1,FBXO7,CUTC,ATF6B,ARF4,ADAM10,ADD1,ANP32A,ATP6V0D1,CHORDC1,BNIP3L,GNA13,CSDE1,ADGRG1,DLEU2,ARHGEF12,B4GALT5,COPS7A,CFAP97,ARID5B,EDRF1,BAZ1A,ATF1,AKAP8,GABPB2,RAB11FIP5,TMEM183A
CCDC124,ATG16L2,EIF4H,NME1,ATXN7,B4GALT5,AIMP1,ATG16L1,AREG,ALG11,ARRDC3,B4GALT5,PSIP1,APRT,AURKAIP1,ADSS,PDS5B,CRK,DNAJA2,GPSM2,AOAH,ACTR1B,ARAP1,BMPR2,BUD13,CAST,C20orf24,ANKRD40,AKIP1,,ACOT2,CD164,CBL,ALDH9A1,ADSL,BIN1,AREG,DLEU2,CEP68,ATG5,ARHGAP10,G3BP1,ANXA1,CUL2,,BAZ1A,CIITA,ANKRD11,FURIN,AVL9,ARHGAP1,ADAR,ARMCX3,ADRB2,MAP3K8,AFG3L2,ACYP1,AFF4,ACTN4,FAM168B,CD2AP,CSGALNACT2,ARID2,AP5B1,BAZ2B,PRPF4B,CRLS1,ATG4B,ANAPC1,ANKRD11,ANKRD12,GAA,BAK1,CD2AP,ATF7IP,BCL2L1,ANP32A,AGTPBP1,API5,ATP5I,ACADM,BACH2,CAAP1,CYB5R1,AKT3,EIF3G,BCL2A1,CCND2,BAG6,FAM122B,CAPRIN1,CEP95,,BAZ1B,C9orf40,CRLS1,ATP2A2,ACYP2,GRK6,ADPGK,CXCR2,COA6,CAB39,ASAP1,GABPB1,G6PD,DALRD3,ATG4C,ARF6,ADAR,ADIPOR2,ANP32B,ATXN7,CLEC2D,BRWD1,ICAM2,DDX46,ADNP,EIF1AD,ARID1A,BACH1,CREBRF,CFL2,ARIH1,EIF3A,BMT2,ATP5O,AKAP9,GALNT7,RBM12B,TSC22D2
CCDC7,ATIC,EPB41L4A-AS1,NME4,AUTS2,BARD1,AKIRIN2,ATG4B,ARFGAP3,ALG13,ASCC3,BOLA3,RAB8B,ARCN1,B3GAT3,AGO2,PMS1,CSNK1G1,DNPEP,HIVEP2,AREG,ADAM17,ARCN1,C14orf166,C1orf131,CCDC126,C9orf40,ANKRD44,ALOX12-AS1,,ACOX3,CDK6,CBWD3,ALG1,AFF4,BLM,ARF6,DYM,CNOT11,ATP11C,ARHGEF12,GATA3,AP2A2,CUTC,,BRD7,CNOT3,ANKRD44,GAPVD1,BCL11B,ASCC2,ADGRG1,ASXL1,AGL,MATK,AGFG1,ADA,AGGF1,ACTR2,GAK,COG1,CTCF,ARL4A,APC,BECN1,PSMD14,CSNK1G3,ATP5J,ANKMY1,AP1M1,ANKRD13A,INPP4A,BFAR,CD59,ATMIN,BHLHE40,AP1AR,AHR,APLP2,AUH,ACAP2,BTBD10,CARS,CYLD,ALDH6A1,GARS,BCL2L1,CCNH,BCDIN3D,FAM192A,CARD19,CLCN3,,BDH2,CALR,CUL3,AURKAIP1,ADAR,GTPBP4,ADRM1,DPYSL2,COX15,CAMK2D,ASCC3,GID8,GOLGA5,DCAF11,ATP6V1H,ARL5A,ADRM1,ADK,ANXA5,BRWD3,CSRNP1,BTAF1,KIAA2013,DLD,ADRB2,FAM177A1,ARIH1,BIRC2,CSNK2A2,CPD,ARL14EP,ELP3,BOD1L1,BBC3,ALG5,GNAI2,SAMD3,U2AF1L4
CCT6A,ATMIN,ESRRA,PARVB,B4GALT5,BAZ1A,ALG13,ATP13A1,ARFIP2,ALOX5AP,ASL,C15orf61,RAP1A,ARF4,BCLAF1,AGPAT4,RMI1,CSNK1G3,DPP9,HPS3,ARF6,ADPRHL2,ARGLU1,C14orf2,C4orf48,CCDC130,CBFA2T2,ANKS3,ANAPC7,,ACSL3,CHORDC1,CD46,ALG13,AGGF1,BLOC1S1,ARFGAP3,DYNC1H1,COG3,ATXN1,ARHGEF2,GRHPR,AP2B1,DDX50,,C17orf80,CYHR1,ANKS3,GLS,C6orf62,ASXL1,ADIPOR1,ATP1B3,AGO3,MIS18A,AKTIP,ADAM10,AGTPBP1,ACTR3,GK,CUL5,CTNNB1,ARL8B,AQR,C1D,PTBP1,DDI2,ATP7A,ANKRD11,AP3B1,ANKRD17,LDHB,BIN1,CDC14A,ATP1A1,BID,APOBEC3G,AK2,ARF4,AVL9,ACBD3,BZW1,CCAR2,DAAM1,AMFR,GATAD2A,BCL2L11,CCNI,BTG3,FBXO25,CCDC102A,CLOCK,,C11orf24,CARD8-AS1,CUL5,B3GAT3,ADRM1,HECTD1,AFG3L2,DYRK1A,CRTAM,CCDC82,BLCAP,GPATCH8,GPATCH8,DHPS,ATR,ARPC5L,AGGF1,ADNP,AP2A2,C11orf21,DDX39A,BTG1,MCL1,EIF2S2,AGFG1,FBRS,ARRDC3,BMI1,DAAM1,DALRD3,ARL8B,ENOX2,C5orf24,BCL6,ALG9,GPATCH8,SASH3,UBE2H
CHD2,ATP13A1,FBXO34,PHIP,BACH1,BCL3,ALYREF,ATP2A2,ARHGAP26,AMN1,ATXN1L,CCDC126,RGS3,ARHGEF12,BCR,AGPAT5,SAFB2,DCAF10,DYNLT1,ID2,ARHGAP26,AGTPBP1,ARHGDIA,C7orf73,CASP7,CCND2,CCDC9,ANO6,ANKRD11,,ACTN4,CMIP,CDC73,ALKBH3,AGPS,BLOC1S2,ARHGDIA,EDC4,CRADD,B3GAT3,ARID5B,HDAC1,ARID3A,DGKZ,,CARD11,DYRK2,ANP32B,GMPS,CANT1,ATAD1,ADPRHL2,BCL2A1,AIP,MTSS1,ALDH6A1,ADAM8,AGTRAP,ADAM10,GLYR1,DCUN1D1,DCP1B,ATP2C1,ARF1,CAPN1,PXK,DYNLL2,BBIP1,ANXA2,AP3S2,ANKRD36C,LST1,BSCL2,CFLAR,ATP2A2,BIRC2,ARCN1,AKAP13,ARHGAP19,AZI2,ACIN1,C18orf25,CCDC126,DDX10,AMIGO2,GDF11,BCL6,CCSER2,BUD31,FGR,CCDC22,CNPPD1,,C12orf49,CCDC7,DDX60,BCL6,AFG3L2,HEG1,AGPAT1,EIF3C,CSNK1G1,CCDC92,BRAF,HAGH,GPR153,DOCK8,ATXN7L1,ARSG,AK3,ADRM1,APPBP2,C2orf49,DUSP2,BTG3,OTUD7A,ELP6,AGFG2,FBRSL1,ASCC1,BTG3,DDHD2,EDF1,ASCC3,ERAP1,C5orf56,BLOC1S4,ALKBH5,HAUS4,SLC25A28,YTHDC1
CMTR1,ATP5G2,FCRL3,PSMB1,BACH2,BORCS5,AMD1,ATP5H,ARID3B,ANAPC11,BACH1,CDIPT,SBF2,ARMC10,BFAR,AHCTF1,SGMS1,DDHD2,DYRK1A,IL18RAP,ARHGEF6,AHCTF1,ARID3B,CA1,CCDC152,CDC34,CDC42SE2,ANXA6,ANKRD40,,ACTR2,CNN2,CDK13,ANKRD13C,AIP,BPNT1,ARID4A,EIF5,CTNNB1,BLVRA,ARL13B,HECTD1,ARL2,DKC1,,CASP1,EIF3A,APBB1IP,HRAS,CDC42SE2,ATAD2,ADSS,BCL2L1,AKT1,MXI1,ALOX5AP,ADGRG1,AKIRIN1,ADAM17,HSPA5,DDX42,DDI2,B3GNT2,ARHGAP25,CAPZB,RAB22A,EIF4EBP2,BRD3,ANXA4,ARHGEF12,ANKRD37,MLX,BTF3,CLINT1,ATP6V1H,BLVRB,ARHGEF2,ANAPC10,ARHGAP9,B3GAT3,ACOT13,C21orf91,CCDC152,DENND4A,ANGEL2,GUF1,BHLHE40,CDC42SE1,CAB39,G6PD,CDKAL1,COPG1,,C16orf91,CCDC82,DPF2,BNIP3L,AGFG1,HGS,AGTRAP,ELAC1,CXXC5,CHMP2B,BUB3,HEATR1,GTF2F1,ECI2,BAZ1B,ASAH1,AKR1A1,AEBP2,ARHGAP1,CBWD2,EIF4E,C21orf91,PALM2-AKAP2,EXOSC8,AGO3,FCRL6,ASCC3,C5orf24,DUS1L,EGLN2,ATAD1,ERBIN,CAND1,BRI3BP,ANAPC13,IKBKG,SPON2,YY1
CREBBP,AURKAIP1,FKBP11,RCN1,BIRC2,BPTF,ANAPC5,ATRX,ARL1,ANKHD1,BAZ1A,CEP78,SET,ARPC1A,BIRC2,AHI1,SLC4A7,DDX3Y,EGLN1,LMBRD1,ARIH2OS,AHI1,ARID4B,CD8A,CDK19,CEP162,CLCC1,AOAH,ANKRD44,,ACTR3,COASY,CDKN1B,ANXA11,ALAS1,BRAT1,ARID5A,FAM13B,CYTH1,BRAP,ARL8B,HPS1,ARRDC2,DLD,,CBFA2T2,ERCC5,APEX2,ID2,CELF2,ATG101,AFF4,BIRC2,AKT3,NFKBIL1,AMN1,ADH5,AKIRIN2,ADAP1,IGF2R,DNAJB6,DNAJA1,BCL2L1,ARHGAP5,CCDC18-AS1,RALGAPA1,ERCC6L2,C15orf61,ANXA5,ARIH1,ANKRD49,NEK1,C11orf24,CNDP2,ATP7A,BNIP3L,ARID4B,ANKRD12,ARHGDIB,BORCS5,ACP1,CCDC50,CCNH,DNM1L,ANKIB1,HPCAL1,BICDL1,CISD2,CAMTA2,GPBP1L1,CERS4,CSNK2A2,,C6orf89,CDC37L1,DUSP2,BZW2,AHI1,HNRNPL,AHNAK,ENPP5,DBP,CHSY1,CAPN15,IGF2R,HRAS,ERVK13-1,BLZF1,ASAP1,ALDH9A1,AGGF1,ARID2,CCDC174,EIF4G3,C2orf27A,PHC3,EXOSC9,AHNAK,FOSL2,ASH1L,CDKN1B,DYRK2,EIF4E,ATXN1,FAM160B1,CAPN2,BTF3L4,ANAPC5,INPP5D,TULP4,ZNF331
CTCF,BFAR,FOXN2,SEC23B,BLMH,C12orf75,ANKRD36C,B4GALT7,ARL4C,ANKRD13D,BCLAF1,CERK,SLC25A11,ARPC1B,BIRC6,AIMP1,SLC7A1,DENND4A,EIF4G3,ORAI3,ARL8A,AHSA1,ARL14EP,CHMP1A,CDYL,CFL2,COG1,AP1G2,AP1S1,,ACYP2,COQ7,CKLF,ANXA6,ALDOA,C12orf57,ARID5B,FBXW11,DCUN1D4,BRD4,ASXL1,LCP1,ASCC3,DUT,,CBLL1,ERVK13-1,APOL3,IKZF2,CLTC,ATG16L1,AGTPBP1,BPGM,AKTIP,OMA1,ANAPC1,ADK,ALDH18A1,ADAR,IPO5,DR1,DPYD,C18orf25,ARID3A,CDC27,RTN4,ESD,CAMTA1,AP1AR,ARL2BP,APBB1IP,NEK9,C12orf45,CNN2,ATXN7L3B,BTG1,ARID5B,ANKRD37,ARL6IP1,BPTF,ACSL4,CCDC82,CEP192,ELK4,ANKRD11,HSPA1B,BIRC2,CLEC2B,CCNG1,GPX7,CHCHD7,DALRD3,,CASC4,CEP295,EIF1B,CAPRIN1,AK3,HNRNPU,AHSA1,EPC2,DEGS1,CLIP4,CCHCR1,IMPA1,IFITM1,FAM107B,BNIP1,ATF4,ALDOA,AHI1,ARL16,CCDC69,EIF5A2,CACUL1,PLIN2,FMNL3,AIG1,GDF11,ATP2C1,CEP135,DYRK4,ESCO1,AUTS2,FBXL3,CAPRIN2,C12orf65,ANKRD26,KIAA0319L,UBL4A,ZNF569
CTNNB1,BSG,GTF2A1,SEC24D,BPGM,C1orf21,ANP32B,BAZ1B,ARMCX3,AP2A2,BICDL1,CLOCK,TGIF1,ASAH1,BSG,AK2,SLF1,DIDO1,ELAC2,PDS5B,ASCC3,AKAP13,ARNTL,CIC,CENPK,CHD1,COX18,AP2S1,APOL6,,ADAM17,CORO7,COPS3,AP1B1,ALG13,C19orf53,ARL8B,FOXJ2,DENND4C,C11orf98,ATF2,MCTP2,ATP2B4,EID1,,CCDC22,FAR1,ARHGEF9,JAZF1,CNOT4,ATP23,AHCTF1,BRD7,ALG6,PIGL,ANAPC11,ADO,ALDH9A1,ADIPOR1,IRF2BPL,DYNC1H1,DTX2,C5orf56,ARNT,CHCHD3,SESN1,EYA3,CAPN10,AP1S2,ARMCX6,ARF6,NME2,C19orf48,CNST,AUTS2,CAPN2,ARL14EP,ANP32A,ARPC1B,BRD7,ACTG1,CCNG2,CHN2,ELMOD2,ANKRD12,HSPA4,BIRC3,CNOT7,CCNI,KCTD10,CHSY1,DCLRE1C,,CCDC18-AS1,CLCN3,EIF3A,CARNMT1,AKAP5,ICE2,AKAP11,FAAP20,DKC1,CREB1,CEP78,LAMP1,IFT74,FAM172A,BPGM,ATG2B,ALG13,AHSA1,ARL2,CCDC71L,ELL2,CAPN7,POLB,FRAT1,AIP,GNB2,ATXN2,CLTC,EMC2,FAM174A,AZIN1,FBXO28,CBFA2T2,C14orf2,ANKRD36C,KXD1,ZADH2,
DDIT4,C12orf57,HERPUD1,SIPA1,BTG1,CAMK2D,ANXA2R,C11orf24,ARMT1,AP3D1,BTG3,CNEP1R1,TP53RK,ASB3,C18orf32,AKAP13,SRGAP2B,DIS3,EPB41,PLIN2,ATG7,AKAP8L,ASAP1,CMTM6,CEP78,CHMP1B,CPD,AP3M1,APPBP2,,ADAM8,CRIP1,COX10,AP1G2,ALG3,C19orf60,ARMCX3,FRAT1,DENND6A,C1RL,ATG14,ME2,ATP6V1B2,EIF4A1,,CD68,GIN1,ARID1B,KCTD9,CREB1,ATP6V0D1,AHI1,BTG3,ALG8,POLR2H,ANGPT2,AES,ALDOA,ADRB2,IRGQ,EFR3A,EIF4EBP2,CALM1,ATAD1,CHIC2,SFSWAP,FAM210A,CCNG2,AP3B1,ARPC3,ARHGAP10,OTUD1,C1QBP,COLGALT2,B3GALT4,CASC3,ARL4A,ANXA7,ARPC4,C1orf35,ACTN4,CFL2,CHRAC1,ELOVL5,ANKRD28,HSPH1,BMT2,COA6,CCT2,KIF20B,CMTM6,DCTN3,,CCDC65,CLOCK,ETF1,CBFA2T2,AKAP8,INO80D,AKAP13,FBXL4,DNAJC27,CREM,CGGBP1,LEPROTL1,IGFBP7,FICD,C12orf76,ATG3,ALG5,AK3,ARL6IP6,CCNL2,EPC1,CASD1,PYCR2,GFI1,AKAP11,GRK2,ATXN7,CNOT9,ERICH1,FDX1,B4GALT5,GABPA,CCDC88C,C8orf82,ANKRD9,LARP4,,
DICER1,C15orf61,HIPK1,SLC44A1,C16orf72,CAMTA1,ANXA5,C9orf16,ARNT,APOBEC3D,C16orf87,CNOT6L,UPF2,ATG4C,C1QBP,AKAP5,STK10,DNMT1,FOXN3,PPIP5K2,ATP6V1B2,AKIRIN1,ASB16-AS1,CREB1,CHST12,CLASP1,CRADD,AP5B1,APPL1,,ADAR,CSNK1G1,COX18,AP2M1,ALKBH3,C1orf43,ASAP1,GALNT11,DGKA,CALCOCO2,ATN1,MIEN1,ATP7A,EIF5B,,CEBPD,GLRX5,ARID3A,KDM5B,CREBRF,ATXN7L3B,AHNAK,C15orf61,ALOX5AP,PRKAG1,ANKRD40,AFG3L2,ALG13,ADSL,KIFC3,EIF4E3,ELOVL5,CAND1,ATE1,CIRBP,SP3,FBXO11,CD164,APBB1IP,ARPC5L,ARHGAP17,PABPC4,C1orf43,CYC1,BACH1,CBWD5,ARL8B,AP1AR,ASCC2,CARF,ACTR10,CHD1,CLASP2,EPB41,ANKRD36C,INO80B,BRAF,COX20,CD44,KLHL9,CSNK1G1,DEDD,,CD37,CNOT2,FAM172A,CCDC14,AKR1B1,ITGB1BP1,AKIRIN2,FBXO28,EGLN2,DAAM1,CHD1,MIEN1,ING4,GPANK1,C19orf12,ATP13A1,AMD1,AK6,ARMT1,CCSAP,FBXO34,CBFA2T2,RAB29,GIGYF2,AKAP13,GZMM,C19orf12,CYLD,ETS1,G3BP2,BACH1,GABPB1,CDC42EP3,CBX7,AP1M1,MEF2C,,
