ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,,,,,,,IFRD2,,,PTPN2,TM7SF3,,,,,,,,,EMG1,NAA50,,,,ENY2,,RPL31,,,,,RPL12,,,,,,,SLC25A5,,MAT2B,,,LSM2,,RPL27A,,,,,,FKBP2,ISCA1,GSE1,,,,,,,,,,,,,,,,,NARS,,,EBNA1BP2,,,,,,,,,,TALDO1,,,,,ITFG1,ECH1,EMP3,,MFNG,,,,,,,,,,,UBE2F,,
,,,,,,,,IGF2R,,,PTPN6,TMED10,,,,,,,,,ENO1,NCOR1,,,,ERI3,,RPL32,,,,,RPL13,,,,,,,SMDT1,,MBNL1,,,LSM4,,RPL28,,,,,,FOS,ISG20,GSTP1,,,,,,,,,,,,,,,,,NDUFB5,,,EEF1A1,,,,,,,,,,TBCC,,,,,ITFG2,EIF1B,ENSA,,MIF,,,,,,,,,,,UBE2J2,,
,,,,,,,,IL10RA,,,RAB1B,TRAPPC6A,,,,,,,,,EPB41L4A-AS1,NDUFB1,,,,ETS1,,RPL34,,,,,RPL13A,,,,,,,SNHG6,,METTL9,,,M6PR,,RPL29,,,,,,FOSB,JUN,GTF2E2,,,,,,,,,,,,,,,,,NDUFS7,,,EEF2,,,,,,,,,,TERF2IP,,,,,ITGB2,EIF2B4,EPB41L4A-AS1,,MRPL16,,,,,,,,,,,UBE2N,,
,,,,,,,,IL16,,,RAB29,TRIM14,,,,,,,,,ERGIC3,NDUFB5,,,,FAM172A,,RPL36,,,,,RPL14,,,,,,,SNRPE,,MIER1,,,MAGOH,,RPL32,,,,,,FOXP1,JUND,GTF2H5,,,,,,,,,,,,,,,,,NMT2,,,EFCAB14,,,,,,,,,,TFDP1,,,,,JARID2,EIF3D,ERGIC1,,MRPL38,,,,,,,,,,,UPF3B,,
,,,,,,,,IL18RAP,,,RAB5A,TRIM44,,,,,,,,,ERP44,NDUFC2,,,,FAR1,,RPL37,,,,,RPL15,,,,,,,SPAG7,,MIF4GD,,,MED28,,RPL36,,,,,,FRG1,KLF6,GTF3C1,,,,,,,,,,,,,,,,,NOSIP,,,EIF1,,,,,,,,,,TMEM126A,,,,,KBTBD3,EIF3E,ERP44,,MRPL51,,,,,,,,,,,XBP1,,
,,,,,,,,IL32,,,RAD1,TUSC2,,,,,,,,,ESD,NDUFV1,,,,FBXL20,,RPL5,,,,,RPL17,,,,,,,SPON2,,MIR181A2HG,,,MED6,,RPL37,,,,,,G3BP2,KLRF1,GUK1,,,,,,,,,,,,,,,,,NR3C1,,,EIF1AX,,,,,,,,,,TOR1A,,,,,KIDINS220,EIF3G,ESD,,MTFR1L,,,,,,,,,,,XRN2,,
,,,,,,,,INPP5K,,,RASSF1,TXK,,,,,,,,,ESYT1,NELFCD,,,,FDFT1,,RPL6,,,,,RPL18,,,,,,,SQSTM1,,MLEC,,,MFF,,RPL6,,,,,,GADD45B,LAMP1,GYG1,,,,,,,,,,,,,,,,,NSD1,,,EIF2S3,,,,,,,,,,TPI1,,,,,KLHL18,EIF3H,ETFA,,MTRNR2L8,,,,,,,,,,,XRRA1,,
,,,,,,,,ITM2A,,,RBBP4,UBE2D3,,,,,,,,,EXOSC6,NFE2L2,,,,FHL3,,RPL7A,,,,,RPL18A,,,,,,,SRRM1,,MLF2,,,MIF,,RPL7A,,,,,,GART,LARP7,H1FX,,,,,,,,,,,,,,,,,NUCB2,,,EIF3M,,,,,,,,,,TPRKB,,,,,KRTCAP2,EIF3I,EVI2B,,MYO1G,,,,,,,,,,,YBX1,,
,,,,,,,,ITSN2,,,RBBP7,UBE2V1,,,,,,,,,FAM200B,NFKBIA,,,,FKBP2,,RPL8,,,,,RPL19,,,,,,,SSRP1,,MPPE1,,,MIS18BP1,,RPL8,,,,,,GHITM,LAT,H3F3B,,,,,,,,,,,,,,,,,NUP160,,,EIF4A2,,,,,,,,,,TSSC4,,,,,LGALS3,EIF3L,EXOSC8,,NAGPA,,,,,,,,,,,YTHDC1,,
,,,,,,,,IVNS1ABP,,,RBM3,UQCRB,,,,,,,,,FAM91A1,NMRK1,,,,FOSL2,,RPL9,,,,,RPL21,,,,,,,STMN1,,MRPL20,,,MRPL12,,RPL9,,,,,,GMPR2,LDHB,HDAC7,,,,,,,,,,,,,,,,,NUTF2,,,EIF4B,,,,,,,,,,TUBA1B,,,,,LRPAP1,EIF4A2,FAM228B,,NAP1L4,,,,,,,,,,,ZBTB7A,,
,,,,,,,,JMJD6,,,RBM4,URM1,,,,,,,,,FBXL20,NOSIP,,,,FUBP1,,RPLP0,,,,,RPL23,,,,,,,STX8,,MRPL33,,,MRPL16,,RPLP1,,,,,,GNAS,LINC01578,HERPUD1,,,,,,,,,,,,,,,,,NUTM2A-AS1,,,EIF4H,,,,,,,,,,TUBB,,,,,LSM14A,EIF4G1,FBL,,NDUFA4,,,,,,,,,,,ZKSCAN1,,
,,,,,,,,KDM2A,,,RGS19,VPS26A,,,,,,,,,FCF1,NPM1,,,,FUNDC1,,RPLP1,,,,,RPL24,,,,,,,TINF2,,MRPS34,,,MRPL23,,RPLP2,,,,,,GNB1,LPP,HINT1,,,,,,,,,,,,,,,,,OTUB1,,,EIF5,,,,,,,,,,UBA2,,,,,LSP1,EIF4G2,FES,,NDUFA6,,,,,,,,,,,ZNF518A,,
,,,,,,,,KLRC1,,,RHEB,YWHAZ,,,,,,,,,FES,NUTM2A-AS1,,,,GABARAPL2,,RPLP2,,,,,RPL26,,,,,,,TMEM263,,MYL12A,,,MRPL24,,RPP38,,,,,,GNG5,LSP1,HNRNPA2B1,,,,,,,,,,,,,,,,,PA2G4,,,EMC4,,,,,,,,,,UQCRQ,,,,,M6PR,EIF5A,FGFBP2,,NFKB2,,,,,,,,,,,,,
,,,,,,,,KRAS,,,RHOH,ZBTB20,,,,,,,,,FKBP11,OCIAD1,,,,GAK,,RPS11,,,,,RPL27,,,,,,,TMUB1,,NARF,,,MRPL33,,RPS12,,,,,,GPX4,LYRM1,HNRNPA3,,,,,,,,,,,,,,,,,PAK2,,,EMC7,,,,,,,,,,USP1,,,,,MAGOH,EIF6,FHL3,,NIN,,,,,,,,,,,,,
,,,,,,,,KXD1,,,RPA2,ZFP36,,,,,,,,,FKBP2,OPTN,,,,GALC,,RPS12,,,,,RPL27A,,,,,,,TNFRSF14,,NCBP2,,,MRPL36,,RPS14,,,,,,GTF3A,MDM2,HNRNPF,,,,,,,,,,,,,,,,,PBXIP1,,,EPC1,,,,,,,,,,VDAC1,,,,,MAPRE2,ELF2,FIBP,,NRDC,,,,,,,,,,,,,
,,,,,,,,LAMP1,,,RPL27A,ZNF226,,,,,,,,,FNBP1,OXA1L,,,,GALNT10,,RPS14,,,,,RPL28,,,,,,,TOMM22,,NECAP1,,,MRPS21,,RPS20,,,,,,GUK1,MDM4,HNRNPU,,,,,,,,,,,,,,,,,PCBD1,,,ERBIN,,,,,,,,,,WDR1,,,,,MAX,ELOVL5,FKBP2,,NUDT1,,,,,,,,,,,,,
,,,,,,,,LBR,,,RPL38,ZNF24,,,,,,,,,FOSL2,PA2G4,,,,GFOD1,,RPS19,,,,,RPL29,,,,,,,TPD52,,NFE2L2,,,MRPS23,,RPS24,,,,,,GZMB,MED10,HSP90AB1,,,,,,,,,,,,,,,,,PCGF5,,,ESF1,,,,,,,,,,YIF1A,,,,,MBTPS1,ELP5,FRG1,,OFD1,,,,,,,,,,,,,
,,,,,,,,LENG8,,,RRP7A,,,,,,,,,,FTL,PABPC1,,,,GIMAP6,,RPS2,,,,,RPL3,,,,,,,UCHL5,,NFYB,,,MTPN,,RPS26,,,,,,HAX1,MED6,IL10RA,,,,,,,,,,,,,,,,,PCYT1A,,,ESYT1,,,,,,,,,,ZC3H15,,,,,MIEN1,EMC4,FRYL,,ORAI1,,,,,,,,,,,,,
,,,,,,,,LETM1,,,RSL1D1,,,,,,,,,,FXN,PCBP1,,,,GMFG,,RPS20,,,,,RPL30,,,,,,,VPS28,,NME2,,,MYADM,,RPS27,,,,,,HCST,METRNL,IL2RB,,,,,,,,,,,,,,,,,PHF20,,,ETNK1,,,,,,,,,,ZC3HAV1,,,,,MLLT10,ERCC3,FTH1,,OXLD1,,,,,,,,,,,,,
,,,,,,,,LIMS1,,,RSL24D1,,,,,,,,,,FYN,PCBP2,,,,GMPS,,RPS24,,,,,RPL31,,,,,,,VRK3,,NMI,,,MYDGF,,RPS27A,,,,,,HDAC7,MGAT1,ILF3,,,,,,,,,,,,,,,,,POLDIP3,,,EVL,,,,,,,,,,ZNF429,,,,,MPHOSPH8,ERCC5,G3BP1,,PAM16,,,,,,,,,,,,,
,,,,,,,,LINC00623,,,RSRC1,,,,,,,,,,G3BP2,PDIA4,,,,GNAI2,,RPS26,,,,,RPL32,,,,,,,WDR74,,NONO,,,NAA38,,RPS3A,,,,,,HIPK3,MRPL20,ILKAP,,,,,,,,,,,,,,,,,PPP1R18,,,EXOSC6,,,,,,,,,,ZNF518A,,,,,MRPL28,ERGIC1,GAPDH,,PARP1,,,,,,,,,,,,,
,,,,,,,,LSM10,,,SBDS,,,,,,,,,,GABARAPL2,PDLIM1,,,,GNG2,,RPS27,,,,,RPL34,,,,,,,WSB1,,NRDC,,,NAA50,,RPS4X,,,,,,HIVEP3,MRPL24,INTS6,,,,,,,,,,,,,,,,,PRDM1,,,FAM117A,,,,,,,,,,,,,,,MRPL36,ESD,GCC2,,PCBP2,,,,,,,,,,,,,
,,,,,,,,LSP1,,,SCAND1,,,,,,,,,,GART,PEF1,,,,GNG5,,RPS27A,,,,,RPL35A,,,,,,,YME1L1,,NUBP2,,,NDUFC1,,RPS6,,,,,,HLA-DPB1,MRPS10,ITGB2,,,,,,,,,,,,,,,,,PRDX6,,,FAM50A,,,,,,,,,,,,,,,MRPS10,EXOC5,GGCT,,PCED1B-AS1,,,,,,,,,,,,,
,,,,,,,,LYAR,,,SCRN2,,,,,,,,,,GATA3,PFDN5,,,,GOLGA7,,RPS29,,,,,RPL36,,,,,,,ZNF331,,ORMDL2,,,NEDD8,,RPS7,,,,,,HLA-DRB5,MYL12A,ITGB2-AS1,,,,,,,,,,,,,,,,,PRELID1,,,FCMR,,,,,,,,,,,,,,,MRPS11,FAM126A,GNB1,,PDHB,,,,,,,,,,,,,
,,,,,,,,LYPLA1,,,SERP1,,,,,,,,,,GGA1,PHB,,,,GOLIM4,,RPS3A,,,,,RPL36A,,,,,,,ZNF428,,OSER1,,,NELFCD,,RPS8,,,,,,HLA-E,MYL6,JAK1,,,,,,,,,,,,,,,,,PRF1,,,FEZ2,,,,,,,,,,,,,,,MTG1,FAM200B,GNG5,,PET100,,,,,,,,,,,,,
,,,,,,,,MAP2K1,,,SF3B6,,,,,,,,,,GGA2,PHF20,,,,GPR65,,RPS4X,,,,,RPL37,,,,,,,,,PAFAH1B1,,,NGDN,,SCAPER,,,,,,HMGN1,NAP1L4,JMJD1C,,,,,,,,,,,,,,,,,PRMT2,,,FGFBP2,,,,,,,,,,,,,,,MYL12A,FAM207A,GNL2,,PHACTR2,,,,,,,,,,,,,
,,,,,,,,MAP3K8,,,SFXN1,,,,,,,,,,GIMAP4,POLDIP3,,,,GPSM3,,RPS4Y1,,,,,RPL38,,,,,,,,,PARP8,,,NME2,,SLC25A11,,,,,,HMGN2,NCOR1,JUN,,,,,,,,,,,,,,,,,PRPF38A,,,FKBP11,,,,,,,,,,,,,,,NCAM1,FAM228B,GNLY,,PLEKHJ1,,,,,,,,,,,,,
,,,,,,,,MARCH5,,,SLC39A7,,,,,,,,,,GLCCI1,POLR1D,,,,GRK6,,RPS5,,,,,RPL39,,,,,,,,,PCBD1,,,NOSIP,,SMIM12,,,,,,HNRNPA2B1,NDUFA6,JUND,,,,,,,,,,,,,,,,,PSENEN,,,FNBP1,,,,,,,,,,,,,,,NCBP2,FAM50A,GNPTAB,,POLR1D,,,,,,,,,,,,,
,,,,,,,,MBP,,,SLTM,,,,,,,,,,GNPTAB,PPIA,,,,GSAP,,RPS6,,,,,RPL4,,,,,,,,,PCGF5,,,NPM1,,SMIM19,,,,,,HNRNPD,NFKBIA,KANSL1,,,,,,,,,,,,,,,,,PTMS,,,FOS,,,,,,,,,,,,,,,NDUFA11,FAR1,GSN,,POLR2E,,,,,,,,,,,,,
,,,,,,,,MCRIP1,,,SMAD5,,,,,,,,,,GPATCH8,PPIB,,,,GSTP1,,RPS7,,,,,RPL5,,,,,,,,,PCM1,,,NSUN6,,SOCS1,,,,,,HNRNPUL1,NPM1,KAT6A,,,,,,,,,,,,,,,,,RAB8B,,,FOSL2,,,,,,,,,,,,,,,NDUFA13,FBXO33,GSPT1,,POLR2I,,,,,,,,,,,,,
,,,,,,,,MIER1,,,SMARCC1,,,,,,,,,,GRAP2,PPIG,,,,H3F3A,,RSF1,,,,,RPL6,,,,,,,,,PDCD10,,,NUCB1,,SP3,,,,,,ID2,NSMCE3,KHDRBS1,,,,,,,,,,,,,,,,,RAP1A,,,FOXN3,,,,,,,,,,,,,,,NDUFB10,FCF1,GUK1,,PPHLN1,,,,,,,,,,,,,
,,,,,,,,MIF,,,SMARCD1,,,,,,,,,,GSTO1,PPP1R7,,,,HADHA,,SCFD1,,,,,RPL7,,,,,,,,,PDGFD,,,NUDT22,,SRSF5,,,,,,IER2,NT5C,KLF10,,,,,,,,,,,,,,,,,RB1CC1,,,FRYL,,,,,,,,,,,,,,,NDUFB2,FCGR3A,GZMH,,PPIG,,,,,,,,,,,,,
,,,,,,,,MOCS2,,,SMIM14,,,,,,,,,,GTF2B,PRMT9,,,,HBA1,,SERTAD3,,,,,RPL7A,,,,,,,,,PEF1,,,ORMDL2,,SRSF7,,,,,,IL32,NUDC,KLF2,,,,,,,,,,,,,,,,,RBM4,,,FTH1,,,,,,,,,,,,,,,NEDD8,FDFT1,H3F3A,,PPP1R7,,,,,,,,,,,,,
,,,,,,,,MORC3,,,SNRPA,,,,,,,,,,H2AFY,PRSS23,,,,HBA2,,SF3B6,,,,,RPL8,,,,,,,,,PHF11,,,PAFAH1B2,,STX16,,,,,,ILKAP,OFD1,KMT2C,,,,,,,,,,,,,,,,,RGS2,,,G6PD,,,,,,,,,,,,,,,NGRN,FKBP11,HBM,,PPP2CA,,,,,,,,,,,,,
,,,,,,,,MPC2,,,SNX3,,,,,,,,,,H3F3B,PRSS57,,,,HBB,,SFSWAP,,,,,RPL9,,,,,,,,,PIM1,,,PAIP2,,TADA3,,,,,,IMPDH2,P4HB,KRTCAP2,,,,,,,,,,,,,,,,,RHEB,,,GADD45B,,,,,,,,,,,,,,,NIFK,FKBP1A,HCLS1,,PRMT2,,,,,,,,,,,,,
,,,,,,,,MRPL20,,,SNX5,,,,,,,,,,HAT1,PSMD7,,,,HBD,,SLC10A3,,,,,RPLP1,,,,,,,,,PIM2,,,PANK2,,TAX1BP1,,,,,,ING2,PAIP2,LAMP1,,,,,,,,,,,,,,,,,RNMT,,,GAS7,,,,,,,,,,,,,,,NOL7,FPGS,HCST,,PSMB8-AS1,,,,,,,,,,,,,
,,,,,,,,MRPL41,,,SRPK1,,,,,,,,,,HAVCR2,RAB11FIP1,,,,HBM,,SMARCA2,,,,,RPLP2,,,,,,,,,PKN2,,,PCED1B-AS1,,TERF1,,,,,,INTS6,PDE4D,LAPTM4A,,,,,,,,,,,,,,,,,RPN2,,,GATAD2A,,,,,,,,,,,,,,,NORAD,FRG1,HERPUD1,,PSMC1,,,,,,,,,,,,,
,,,,,,,,MRPS24,,,SSR1,,,,,,,,,,HAX1,RACK1,,,,HCLS1,,SMIM19,,,,,RPS11,,,,,,,,,PLCG2,,,PDCD7,,TGFB1,,,,,,IQGAP1,PDIA4,LENG8,,,,,,,,,,,,,,,,,RWDD1,,,GDI2,,,,,,,,,,,,,,,NPEPPS,FXYD5,HEXB,,PSMD13,,,,,,,,,,,,,
,,,,,,,,MRPS36,,,STXBP2,,,,,,,,,,HIST1H1C,RBM22,,,,HCST,,SNHG5,,,,,RPS12,,,,,,,,,PNKP,,,PDIA6,,TGIF1,,,,,,IRF7,PEF1,LEPROTL1,,,,,,,,,,,,,,,,,S100A10,,,GIMAP1,,,,,,,,,,,,,,,NSUN6,GABARAPL2,HIPK1-AS1,,PUF60,,,,,,,,,,,,,
,,,,,,,,MRPS6,,,SUN2,,,,,,,,,,HMGN1,RGS10,,,,HEXIM1,,SNHG9,,,,,RPS13,,,,,,,,,POLDIP2,,,PET100,,THAP1,,,,,,ISG20L2,PET100,LIMD2,,,,,,,,,,,,,,,,,SAFB2,,,GLOD4,,,,,,,,,,,,,,,NUDT22,GATA3,HLA-A,,RAB11B,,,,,,,,,,,,,
,,,,,,,,MVD,,,TAF1D,,,,,,,,,,HMGN2,RNMT,,,,HIPK1,,SNX2,,,,,RPS14,,,,,,,,,POLR2F,,,PFDN6,,TLK1,,,,,,JAK1,PFN1,LITAF,,,,,,,,,,,,,,,,,SCAND1,,,GLRX3,,,,,,,,,,,,,,,NUP107,GIMAP6,HLA-B,,RAB8A,,,,,,,,,,,,,
,,,,,,,,MYADM,,,TGIF1,,,,,,,,,,HNRNPA3,RPL12,,,,HIPK1-AS1,,SPG21,,,,,RPS15,,,,,,,,,PPCS,,,PFKL,,TMBIM4,,,,,,JARID2,PGK1,LSP1,,,,,,,,,,,,,,,,,SDHA,,,GLS,,,,,,,,,,,,,,,NUS1,GLS,HNRNPA1,,RAD23B,,,,,,,,,,,,,
,,,,,,,,MYO1F,,,TGOLN2,,,,,,,,,,HNRNPD,RPL13A,,,,HLA-A,,SPTSSA,,,,,RPS15A,,,,,,,,,PPIE,,,PFN1,,TMEM223,,,,,,JMJD6,PHC3,MAFF,,,,,,,,,,,,,,,,,SEC11C,,,GNAI3,,,,,,,,,,,,,,,NUTM2A-AS1,GNAI3,HNRNPA2B1,,RAD9A,,,,,,,,,,,,,
,,,,,,,,NACA,,,THRAP3,,,,,,,,,,HP1BP3,RPL21,,,,HLA-DRB1,,SRP14,,,,,RPS16,,,,,,,,,PPM1G,,,PGGT1B,,TMEM30A,,,,,,JPX,PNRC1,MAGOHB,,,,,,,,,,,,,,,,,SERPINB6,,,GNAS,,,,,,,,,,,,,,,NXT1,GNG5,HNRNPC,,RASSF5,,,,,,,,,,,,,
,,,,,,,,NCK1,,,TM2D1,,,,,,,,,,HSBP1,RPL23A,,,,HNRNPA1,,SRSF5,,,,,RPS18,,,,,,,,,PPP1R12A,,,PIH1D1,,TNFAIP3,,,,,,JTB,PPHLN1,MAPKAPK3,,,,,,,,,,,,,,,,,SERTAD3,,,GNPTAB,,,,,,,,,,,,,,,ODC1,GPATCH2L,HNRNPF,,REL,,,,,,,,,,,,,
,,,,,,,,NDUFA5,,,TMEM219,,,,,,,,,,HSP90AB1,RPL27A,,,,HNRNPC,,SRSF7,,,,,RPS2,,,,,,,,,PPP1R15A,,,PNRC2,,TNIP2,,,,,,JUN,PPP2R5C,MARK3,,,,,,,,,,,,,,,,,SFT2D1,,,GPAA1,,,,,,,,,,,,,,,ORMDL2,GPATCH8,HNRNPH3,,RFC2,,,,,,,,,,,,,
,,,,,,,,NDUFS8,,,TMEM230,,,,,,,,,,ICAM2,RPL6,,,,HSBP1,,SSR3,,,,,RPS20,,,,,,,,,PPP2CA,,,POMP,,TNPO3,,,,,,JUND,PPP6R1,MBNL1,,,,,,,,,,,,,,,,,SFT2D2,,,GPBP1L1,,,,,,,,,,,,,,,OSTC,GZMH,HNRNPK,,RNF126,,,,,,,,,,,,,
,,,,,,,,NEAT1,,,TOX4,,,,,,,,,,ID2,RPS12,,,,HSD17B10,,ST3GAL5,,,,,RPS21,,,,,,,,,PRDX6,,,PPIA,,TOMM22,,,,,,KAT6A,PRDX6,MED30,,,,,,,,,,,,,,,,,SH3BP5,,,GPX4,,,,,,,,,,,,,,,PA2G4,H2AFV,HSP90AA1,,RNF7,,,,,,,,,,,,,
,,,,,,,,NEIL1,,,TRAPPC6A,,,,,,,,,,IER2,RPS21,,,,HSD17B11,,SUGT1,,,,,RPS24,,,,,,,,,PRKAG2,,,PPIB,,TPT1,,,,,,KLHL18,PRR13,METRNL,,,,,,,,,,,,,,,,,SHKBP1,,,GRK6,,,,,,,,,,,,,,,PCBP2,H2AFZ,HSP90B1,,RPA2,,,,,,,,,,,,,
,,,,,,,,NEMF,,,TSN,,,,,,,,,,IFI44L,RPS27A,,,,HSPA5,,SUPT6H,,,,,RPS25,,,,,,,,,PRKAR1A,,,PPP1CA,,TRIB2,,,,,,KPNA1,PRRC2C,MFF,,,,,,,,,,,,,,,,,SLC16A7,,,GUK1,,,,,,,,,,,,,,,PCMT1,HAT1,HSPA9,,RPL22,,,,,,,,,,,,,
,,,,,,,,NKTR,,,TSPYL2,,,,,,,,,,IFITM1,RPS8,,,,HYOU1,,SYF2,,,,,RPS27,,,,,,,,,PRKX,,,PPP4R3B,,TTC39B,,,,,,LAIR1,PTBP1,MMADHC,,,,,,,,,,,,,,,,,SLC20A1,,,H3F3B,,,,,,,,,,,,,,,PDAP1,HIGD1A,HYOU1,,RPL30,,,,,,,,,,,,,
,,,,,,,,NOP58,,,TSTA3,,,,,,,,,,IFNAR1,RRBP1,,,,ID2,,TCP1,,,,,RPS27A,,,,,,,,,PRMT9,,,PRDX1,,UBA5,,,,,,LAP3,PTMA,MPG,,,,,,,,,,,,,,,,,SLC25A20,,,HACD4,,,,,,,,,,,,,,,PDCD10,HINT1,IFITM2,,RPL7,,,,,,,,,,,,,
,,,,,,,,NR1H2,,,TXNIP,,,,,,,,,,IFNG,RSBN1L,,,,IFITM2,,TERF1,,,,,RPS28,,,,,,,,,PRPF38B,,,PRDX3,,UBB,,,,,,LINC01278,PUF60,MPPE1,,,,,,,,,,,,,,,,,SLC35B1,,,HDAC8,,,,,,,,,,,,,,,PDCD6IP,HLA-DRB1,IGFBP7,,RPS20,,,,,,,,,,,,,
,,,,,,,,NRBF2,,,UBALD2,,,,,,,,,,IKZF1,S1PR5,,,,IFNGR1,,TPT1,,,,,RPS29,,,,,,,,,PRPF4B,,,PRELID3B,,UBE2D3,,,,,,LINC01578,PYCARD,MRPL52,,,,,,,,,,,,,,,,,SLC4A1AP,,,HENMT1,,,,,,,,,,,,,,,PDE12,HLA-DRB5,IKBKE,,RPUSD3,,,,,,,,,,,,,
,,,,,,,,NUDT4,,,UBE2V1,,,,,,,,,,IMP3,SAP30BP,,,,IGF2R,,TRMT10C,,,,,RPS3A,,,,,,,,,PRSS23,,,PRMT1,,UBE3A,,,,,,LRRC59,RAB11B,MRPL54,,,,,,,,,,,,,,,,,SNW1,,,HERC1,,,,,,,,,,,,,,,PDLIM2,HMGB1,ILF2,,RSRC2,,,,,,,,,,,,,
,,,,,,,,OAT,,,UHMK1,,,,,,,,,,IMPDH2,SDCBP,,,,IL2RB,,TSC22D3,,,,,RPS4X,,,,,,,,,PSMC5,,,PSIP1,,UQCRH,,,,,,LRRFIP1,RAB7A,MRPS18B,,,,,,,,,,,,,,,,,SNX6,,,HERPUD2,,,,,,,,,,,,,,,PFDN2,HMGN3,INPP4A,,RTN4,,,,,,,,,,,,,
,,,,,,,,OSGEP,,,UQCRC2,,,,,,,,,,IQGAP1,SDF2L1,,,,IL32,,TSC22D4,,,,,RPS4Y1,,,,,,,,,PSMD2,,,PSMA3,,UXS1,,,,,,LUC7L3,RAC1,MTDH,,,,,,,,,,,,,,,,,SON,,,HEXA,,,,,,,,,,,,,,,PFDN5,HNRNPAB,IRF1,,RXRB,,,,,,,,,,,,,
,,,,,,,,PAPOLA,,,UXT,,,,,,,,,,IRF7,SDF4,,,,ILF2,,TUBA1A,,,,,RPS5,,,,,,,,,PSMD7,,,PSMA4,,UXT,,,,,,MAFF,RACK1,MYDGF,,,,,,,,,,,,,,,,,SP110,,,HIF1AN,,,,,,,,,,,,,,,PGGT1B,HNRNPC,ITGB2,,S1PR4,,,,,,,,,,,,,
,,,,,,,,PCNX4,,,WAS,,,,,,,,,,ISG20,SERP1,,,,ISCU,,UBA52,,,,,RPS6,,,,,,,,,PTBP3,,,PSMA5,,VGLL4,,,,,,MAP3K8,RBBP6,MYH9,,,,,,,,,,,,,,,,,SS18L2,,,HIGD2A,,,,,,,,,,,,,,,PHF20,HNRNPK,JTB,,SEC11A,,,,,,,,,,,,,
,,,,,,,,PCSK5,,,YWHAB,,,,,,,,,,ITGB1BP1,SERPINB1,,,,ISG20L2,,UBE2D3,,,,,RPS7,,,,,,,,,PYURF,,,PSMA6,,WDR46,,,,,,MAPKAPK5,RBM3,MYL12B,,,,,,,,,,,,,,,,,SSBP1,,,HLA-DRB5,,,,,,,,,,,,,,,PHF20L1,HNRNPU,KATNA1,,SEC61B,,,,,,,,,,,,,
,,,,,,,,PDAP1,,,ZC3H13,,,,,,,,,,JAK1,SIKE1,,,,ITPKB,,UBE2E3,,,,,RPS8,,,,,,,,,QKI,,,PSMB2,,XRCC5,,,,,,MCL1,REL,MYO1G,,,,,,,,,,,,,,,,,STK4,,,HMGN1,,,,,,,,,,,,,,,PIK3R1,HNRNPUL1,KCNAB2,,SELL,,,,,,,,,,,,,
,,,,,,,,PDIA3,,,ZCRB1,,,,,,,,,,JMJD6,SLC25A45,,,,JARID2,,UBE2N,,,,,RPS9,,,,,,,,,RAB14,,,PSMB3,,YBX1,,,,,,MCRS1,RGCC,MYOM2,,,,,,,,,,,,,,,,,SUPT4H1,,,HNRNPA2B1,,,,,,,,,,,,,,,PLP2,HSP90AA1,KIF20B,,SERBP1,,,,,,,,,,,,,
,,,,,,,,PDLIM2,,,ZFP36L1,,,,,,,,,,JTB,SLC38A1,,,,KAT6B,,UBE2S,,,,,RPSA,,,,,,,,,RAB18,,,PSMB4,,YIPF4,,,,,,MED15,RNASEK,NARF,,,,,,,,,,,,,,,,,SYNCRIP,,,HNRNPL,,,,,,,,,,,,,,,PNISR,HSPA5,KLRF1,,SH2D2A,,,,,,,,,,,,,
