ARNTL_(+),ASCL2_(+),ATF1_(+),ATF2_(+),ATF4_(+),ATF6_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BDP1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CHD1_(+),CHURC1_(+),CREB1_(+),CREB3_(+),CREM_(+),CTCF_(+),CUX1_(+),CXXC1_(+),DDIT3_(+),DRAP1_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ3_(+),FOXN2_(+),GATA3_(+),GATAD1_(+),HIF1A_(+),HMBOX1_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),KLF6_(+),KLF9_(+),MAF_(+),MAFF_(+),MAX_(+),MAZ_(+),MECP2_(+),METTL14_(+),MTF2_(+),MXD4_(+),NFAT5_(+),NFATC2_(+),NFATC3_(+),NFE2L2_(+),NFKB1_(+),NFKB2_(+),NFYB_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),NR4A1_(+),PHF20_(+),POU2F2_(+),PRDM1_(+),PURA_(+),RAD21_(+),REL_(+),RELB_(+),RFXANK_(+),RUNX1_(+),RUNX3_(+),RXRB_(+),SATB1_(+),SIRT6_(+),SMAD2_(+),SMAD3_(+),SOX4_(+),SP3_(+),SREBF2_(+),STAT1_(+),STAT6_(+),TAF1_(+),TAF6_(+),TBX21_(+),TFDP1_(+),THAP11_(+),THRA_(+),TP53_(+),UBP1_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBED1_(+),ZBTB11_(+),ZBTB2_(+),ZBTB24_(+),ZBTB25_(+),ZBTB43_(+),ZBTB7A_(+),ZFX_(+),ZKSCAN1_(+),ZNF148_(+),ZNF160_(+),ZNF22_(+),ZNF493_(+),ZNF518A_(+),ZNF580_(+),ZNF791_(+)
NAXE,,CNTRL,,ATF4,BTG1,ATXN2L,RNPC3,AGPAT1,VIPR2,ARHGAP15,AMZ2,APMAP,ARL4C,BFAR,C7orf50,FHL3,,,C12orf49,USP14,PDPR,PTAR1,KARS,ANAPC15,AP5Z1,AKAP13,ANP32A,ARRDC2,ASCC3,FAM120A,ACTG1,CNOT2,ANKRD12,ANKRD28,AHNAK,BRD1,,CHMP1B,ANKRD36,EIF3J,,,YTHDF2,CISD2,CKS2,AK5,CD8A,AGTRAP,AKR1B1,CWC27,ADD1,CCNH,BECN1,ADD3,ANP32E,EGR1,ADAM10,ACBD5,ITGB2,C6orf62,MED7,ADAP1,CD47,DLD,,,ARF5,,AP1M1,GPATCH8,,FMR1,LMBR1L,ICAM2,C9orf16,,EIF4G2,,CAND1,ASF1A,CDKN2D,KIAA2026,CCDC88B,NUP58,ALDOA,PLEKHA2,PRDM1,AZI2,SYTL2,,MFSD10,DCTN4,CYTH1,CINP,MAP3K13,,MRPS24,NGLY1,TNFAIP3,,ANKRD11,CDC42EP3,APOBEC3C,BRD1,GALNT11,TAF6,AGK,ARL2,SRSF6,MGST3,OXNAD1,,LLGL2,,ADGRG1,ADAM8,PRDM2,ATM,ISCA1,,CBX6,MGMT,ADH5,,,EIF3E,RAP2C,,,COX7A2,AKAP13,
PSMA4,,CRBN,,ATF7IP2,C12orf10,BATF,TNFAIP3,AGTRAP,,ARL2BP,ANKRD11,ARF6,ARMC8,BUB3,CHD2,FUCA2,,,CCL4L2,ZNF639,PPP6R2,RPIA,KLF6,ANXA1,ARID4A,ALG5,ANP32B,ARSG,ATG5,FBXO25,ACTR3,CNOT6L,ANXA4,AP5Z1,AIMP1,C19orf25,,COMMD5,ANKRD36B,GATAD1,,,,CWC22,DDB1,ALDH9A1,COMMD4,AHI1,ALG5,CX3CR1,ADGRG1,CD74,BPGM,ADH5,ATM,ETFB,AFTPH,ACTB,ITM2B,CCDC18,MORC3,ADD3,CDC42SE2,EDEM2,,,ARHGAP15,,AP2A2,HNRNPH3,,GOLIM4,MARK3,ITGAX,CACYBP,,FOSL2,,CCL5,AXIN1,CHORDC1,NR1H2,CD3G,OSTC,ANAPC11,RABGAP1L,PRSS23,BABAM1,,,NFKB2,DDX3Y,DAB2,COX7B,PPP2R5C,,NDUFS2,NUTM2B-AS1,UBE2S,,APMAP,CHMP4B,APOBEC3G,CAPNS1,GNPTG,TAOK1,AK3,ARL6IP6,TTC19,MRPS18A,RC3H2,,MAPRE2,,ADIPOR2,ADAP1,SS18L2,ATP2A2,LAMP1,,CDIPT,NONO,ADNP,,,EML4,SGPL1,,,CST3,AKAP5,
RBM38,,CREM,,ATR,CCDC18-AS1,BPTF,TNFAIP8,AK6,,ARL5A,AP1G2,ARHGDIA,ASCC3,CARHSP1,CHMP3,ITPA,,,CD69,,PRKD3,RSL1D1,NOL12,AP2S1,ARL4A,ALKBH5,ANXA1,ATP6V0D1,ATP1A1,GIMAP6,ADAM8,DDRGK1,AOAH,AREG,AIP,CCNL2,,CWF19L2,ANXA2,GNAS,,,,DIP2A,DDIT4,ANAPC11,DBNL,AHSA1,AMD1,CYTIP,ADNP,CEBPD,C12orf10,ALKBH5,ATP6AP2,FAAP20,AGPAT1,ACTG1,LINC01578,CCNH,MRPL44,ADGRG1,CDK10,EMC7,,,ARL4A,,APOBR,LARP7,,H2AFY,MED13,KLRD1,CCAR2,,GSDMD,,CD74,B3GNT2,CXCR4,NUFIP2,CD46,PPP2R5A,ANAPC15,RCBTB2,SGK3,BIN1,,,NPRL2,DEGS1,DDIT3,CSRP1,PSMC4,,NMI,PEX2,VAV3,,ARF4,CREBRF,APOL6,CBX5,GTF2E2,TMEM18,AKAP13,ARMC8,USP34,PDS5B,RNF19A,,MED15,,AGPAT1,ADAR,TGFBR3,BATF,LMNA,,DDX6,RAB7A,ADPGK,,,FNBP1,,,,DICER1,AKAP9,
SBDS,,CSNK1D,,BEX2,CD2,CCAR1,UBAC2,AKAP13,,ARMCX6,AP1S2,ARL14EP,ATXN1,CEBPG,DAZAP1,LUC7L2,,,CDK2AP2,,PSMA3-AS1,SF3B2,PSMB7,AP3M1,ATP6V1E1,ALKBH6,AOAH,BABAM1,ATRX,HNRNPR,ADCY7,DDX18,APOL6,ARF6,AKAP10,CCNT1,,CYTH1,AP1M1,GTF2I,,,,DTNBP1,DDX21,ANAPC15,DNAJC21,AKAP13,ANAPC11,DFFA,ADPGK,CERS5,C14orf119,ALOX5AP,ATXN10,FTX,AIMP1,ACTR10,MAP2K2,CMSS1,PARL,ADIPOR2,CHD1,FBXO25,,,ATG4B,,ARF5,MAN1A1,,KPNA3,NGRN,MAP3K8,CCDC124,,IFNAR1,,CDC42SE1,BOLA3,CXXC5,PABPC1,CHST11,PRR7,ANKRD10,RPAP2,SMAD3,BTN3A2,,,NSA2,DNAJC21,DDX17,CTDNEP1,RAB11B,,PLEKHJ1,PTAR1,ZFP36L2,,ARGLU1,DIDO1,ARFGAP2,CCNI,HSPB11,TMX1,AKIRIN2,ARMCX6,,RNMT,SEC31A,,NDUFA12,,AHSA1,ADD1,TMF1,BAZ2A,METTL5,,DNAJC2,S1PR5,AGK,,,JARID2,,,,DNAJC1,AKIRIN2,
TBC1D14,,CYB5D2,,BNIP2,CD37,CDK11A,USF2,AKAP8,,ARSG,ARF6,ARL2BP,BCL7C,CELF2,DUSP11,MCTP2,,,CHD1,,SMIM4,TMEM101,REL,APMAP,BAZ1B,ALOX5AP,AP3M1,BAX,AURKAIP1,LCOR,ADD1,DDX49,ARAP1,ARHGAP5,AKIRIN1,CCNY,,DDX17,AP2A1,HENMT1,,,,EPS15L1,GAR1,ANKRD12,DOCK8,ALOX5AP,ANP32B,DPM3,AKAP8L,CLPTM1L,C19orf12,ANKRD10,BANF1,GFM1,AK5,ACTR1B,PTPRC,DAPK3,PFKP,ADPGK,CLASRP,FOSB,,,BAZ1B,,ARID2,MARCH7,,KRAS,NOC4L,MED13L,CCNT1,,ITGAL,,CDK17,BRD2,DDA1,PAM16,CHST2,PTBP1,ANKRD11,SNX6,TRIM14,CAPN2,,,PLSCR3,EIF3M,DNAJC5,DHX36,RAB37,,RABGAP1L,PYCR2,,,ARPC3,DUSP10,ARHGDIA,CD83,MPPE1,TNFRSF18,ANAPC10,ARPC1B,,SMAP1,SETD5,,NUDCD2,,AIP,ADH5,YBX1,BRI3,MTHFS,,EBAG9,SUPT3H,AIP,,,JUNB,,,,EIF2S2,AKR1A1,
THRA,,DAD1,,BTF3,CD52,CDK13,,AKNA,,ASPSCR1,ARGLU1,ARPC2,BCR,CNDP2,DYRK1A,MED8,,,CHD8,,UPF2,,RSRP1,APOBEC3G,BIN1,ALYREF,APLP2,BHLHE40,B3GAT3,MGAT4A,ADGRE5,DIS3L2,ARF1,ARHGAP9,AKT1,CD3E,,DDX46,ARHGAP4,HNRNPD,,,,ETF1,GGNBP2,ANKRD39,DTHD1,ANAPC13,AP1M1,DRAM2,AKIRIN2,CMC1,C19orf25,ANKRD11,BIRC2,GNAS,AKAP5,ACYP2,RBM38,DARS,PIK3CG,AFF4,CYLD,FTSJ1,,,BCAP29,,ARL4C,MORC3,,LRRFIP2,PCGF5,MT1X,CCZ1,,KCTD20,,CITED2,BSCL2,DDIT4,SKIL,COMMD1,RGS2,AP1M1,UBE2F,YIPF6,CAST,,,RELB,FAAP20,ERICH1,DOCK8,RHOG,,RAD23B,RNF13,,,ATG12,DYNLL1,ARMC8,CDYL,MRPS33,TSHZ1,ANKRD10,ATAD2,,TACC1,UBE2J1,,NUDT3,,AKIRIN2,AGO3,ZNF836,BST2,RAD9A,,EXOC7,UBE2B,AKT1,,,KRAS,,,,EPS15,AKT1,
ZFP36L1,,ESYT2,,C12orf57,CDC42SE1,CHCHD7,,AKR1B1,,ATF1,ARHGEF1,ARPC3,BIRC6,CSNK2A1,EFCAB2,MRPL3,,,CHERP,,,,SAT1,ARF5,BTG2,AMD1,APMAP,BRAF,BAZ1A,MOSPD3,ADH5,ENDOV,ARHGDIB,ARHGEF6,ALOX12-AS1,CEP290,,DMTF1,ARID5B,HNRNPR,,,,HMGN1,GNL1,ANXA11,EIF3L,ANP32A,AP2A2,ECH1,ALDOA,COMMD5,C1D,ANKRD12,C16orf91,GRAP2,AKAP8,ADAR,SARAF,DDX3Y,PPIP5K2,AGGF1,CYTIP,GPATCH2L,,,BFAR,,ARMC6,NIPBL,,MAP4,PSTPIP2,MTCH1,CDK4,,MARK2,,CLEC2D,C12orf75,DRAM2,STAU2,COTL1,RRP7A,AQR,,ZNF75A,CCDC115,,,RNF115,FLNA,FRY,DPP9,RNF7,,RMND5A,SART1,,,ATIC,EBNA1BP2,ARPC4,CHD2,MT2A,,ANKRD12,ATG3,,TPM1,UTP23,,OCIAD1,,AMD1,AKAP8L,,CASP4,ZFP36L1,,FKBP11,,ALYREF,,,LBH,,,,FOSL2,ALKBH5,
ZNF431,,FAM50A,,C3orf38,CEBPG,CHP1,,ALDH9A1,,ATF2,ARL4C,ARSG,BOD1L1,DDAH2,EID1,PCMT1,,,CHTOP,,,,SUPT16H,ARHGAP4,BTN3A2,AMZ2,ARHGDIA,BRD1,BCL11B,MRPS5,ADRM1,ERO1A,ARPC4,ARL4A,AMD1,FOSL2,,DNPEP,ARSG,HYOU1,,,,HOXB2,GRHPR,AP5M1,EVI2B,ANXA1,AP3D1,ERLEC1,ALKBH5,CTSO,C1orf131,ANP32A,CCDC85B,GZMB,AKIRIN1,ADD3,SIPA1,DNAJC9,PSMG3,AGK,DMTF1,GUCD1,,,BIRC2,,ARRB2,NMT2,,NAMPT,RAB29,NFAT5,CGGBP1,,MPHOSPH8,,CPQ,CAB39,ERLEC1,TAOK1,DAD1,SMAD7,ARF1,,,CCDC91,,,STX17,GAS5,GNAI2,DUS1L,SLC38A1,,SAMD3,SECISBP2,,,ATM,EDRF1,ATP11B,CHI3L2,NDUFA11,,ANKRD13D,ATP1B3,,TSPYL1,,,ODF2,,ANAPC15,AKTIP,,CCL3L1,ZNF593,,HNRNPF,,ANAPC10,,,LRRFIP1,,,,FOXO3,AMZ2,
,,FBXO6,,CCL28,COQ10B,CISD3,,ANKRD13D,,ATP1A1,ATP8A1,ATG2A,CCND2,EIF1B,FBXW4,PLEKHB2,,,CIB1,,,,TPST2,ARHGDIA,C12orf57,ANKRD11,ARNTL,BRD2,BCL2L13,NT5C3A,ADSS,ETV3,ASF1A,ASNSD1,AP3B1,FUBP1,,FNTA,ASXL1,IER5,,,,ISCA1,HNRNPR,APC,GCLM,ANXA11,APEH,ESYT2,ANAPC11,EFHD2,CALM2,ANP32B,CCL5,HTATSF1,ALG13,ADGRG1,SRGN,DRAM2,RICTOR,AGTPBP1,DNAJC10,INO80C,,,BLCAP,,ASPSCR1,ORMDL1,,NFYC,SAP30BP,RASA2,CLDND1,,OSBPL8,,CTSO,CACUL1,FERMT3,UNC45A,DDIT3,STRIP1,ARL8B,,,CCND2,,,THOC7,GLRX3,GON4L,EIF3E,SRSF6,,SIRT6,SLF1,,,ATMIN,FAF1,ATP6V0C,COMMD1,RBPJ,,ANKRD17,ATP6V1H,,UNK,,,PSMD7,,ANAPC5,ALYREF,,CD2,,,HNRNPUL2,,ANAPC16,,,MAPKAP1,,,,GLIPR1,ANAPC15,
,,FKBP5,,CCNL1,CUL4A,CNP,,ANXA11,,ATP6V0E2,ATR,B3GAT3,CD47,EIF2B4,GPBP1L1,PLSCR1,,,CIRBP,,,,UPP1,ARL2BP,C17orf49,ANKRD13D,ARPC1B,BTG2,BEND7,PCNX4,AFF4,EVI2A,ASNSD1,ATP5E,AP3M1,GRK2,,FOXP1,ATG4B,LEPROTL1,,,,JADE2,IER5,APMAP,IER2,ANXA7,APOBEC3C,FAAP20,ANAPC5,EHD1,CAMTA1,ANXA2,CCT2,IDH3B,AMD1,ADH5,TGFB1,DYNC1I2,SF3A1,AKAP7,EIF3J,KNOP1,,,BRAF,,ASXL1,PCMTD1,,NIPBL,ZMAT3,REL,CLTA,,PSMG4,,DDX3X,CACYBP,FOXN3,WDR45B,DNAJC19,XCL1,ARNTL,,,CCNY,,,TRMT10C,GMPR2,ISCU,EIF3H,XRN2,,SKA2,STRIP1,,,ATP6V0D1,FLNA,ATXN1L,COQ10B,RWDD4,,AP2S1,B3GNT2,,XRN2,,,PWP1,,ANKRD44,ANAPC13,,CD226,,,HTATSF1,,ANKRD10,,,MTRF1L,,,,GOLGB1,ANKRD11,
,,FOXN3,,CCNT1,DCAF13,CNST,,APOBR,,ATP6V1G1,BRD3,BAX,CD81,EXOC4,GUK1,SLC4A7,,,CREBZF,,,,UXT,ARPC1A,C5orf56,AP1G2,ASH1L,C12orf57,BIRC2,PHACTR2,AHI1,FAM53C,ASPSCR1,ATP6V0C,AP3S1,GYPC,,GBP4,ATP2A2,LPGAT1,,,,KDM5A,ILF3,APTX,IER3,AP1G2,ARAP2,FBXO7,ANXA4,EIF2B5,CAPNS1,AP2M1,CD160,IFI44L,ANKHD1,ADSS,YPEL3,EOMES,STX5,AKAP8L,EIF4G3,MRPL45,,,BTF3,,ATF6B,PDLIM5,,NORAD,,RORA,CMTR2,,SCPEP1,,ECH1,CARHSP1,GGA1,XPO1,DNMT1,ZMAT2,ARPP19,,,CCS,,,,GTF2H5,LBR,EIF6,,,SMAP2,SUMF2,,,ATR,GCLM,BCKDHA,COTL1,S1PR5,,APEX1,BCL2A1,,,,,RBM4,,ANXA1,ANKRD28,,CDK13,,,KLHL24,,ANKRD11,,,NAPA,,,,GPATCH8,ANXA1,
,,GDI2,,CENPH,DDHD1,COQ7,,ARF1,,ATXN1,C1QBP,BCAS2,CEBPB,FBXL5,LRBA,SNAPIN,,,CREM,,,,,ARPC3,CANX,AP2A2,ATIC,C2orf74,BLOC1S4,POM121,AHSA1,FBXW2,ATF1,ATXN1L,APOL2,H1FX,,GRSF1,ATXN2,LUC7L3,,,,KPNA4,LMNB1,ARCN1,IKZF2,APC,ARF1,GOLGB1,AP2A1,EML4,CAPZB,APC,CD164,ILKAP,ANXA7,AFF4,ZAP70,ERGIC2,SYS1,AKIRIN2,ESD,NCOR2,,,C9orf16,,ATM,PPIP5K2,,NUCB2,,SNRPN,CREB3L2,,SF3B1,,EIF1B,CCDC66,H2AFZ,,DUSP2,,ARRDC1,,,CCT2,,,,H1FX,LINC01578,EMC7,,,SNX10,THEM4,,,BID,GNA13,BCLAF1,CTNNBL1,SLC25A36,,ARHGAP25,BROX,,,,,RELB,,ANXA4,ANKRD36B,,CERS5,,,LAMP1,,ANKRD13D,,,NUCB2,,,,HNRNPL,ANXA2,
,,HAT1,,CHCHD3,DDX52,CSNK1G2,,ARF5,,BAZ1B,C1orf131,BECN1,CEBPD,FDFT1,MFSD14A,TIPARP,,,CSNK1G3,,,,,ARRB2,CASP4,APMAP,ATP6V0D1,CACUL1,BMS1,PRKCSH,AK3,GSTK1,ATP6AP2,B3GAT3,APRT,HEXB,,HENMT1,B4GALT1,MORF4L1,,,,LLPH,LUC7L2,ARF3,KLF6,APOBEC3G,ARHGDIB,GOLT1B,APH1A,ERGIC3,CARD8,APOBEC3H,CD2BP2,IRF1,AP1B1,AGPAT1,ZFP36L2,FAM219B,TANK,ALG13,EZR,PAFAH1B1,,,CAB39,,B3GNT2,RAB37,,NUP50,,TULP4,CREM,,SMAP2,,EIF3E,CCDC82,HARS,,DYNLL1,,ASAH1,,,CD37,,,,ITGB1,MAFF,EPN1,,,TBCA,YDJC,,,BLMH,HMG20B,BDP1,DDX6,SLTM,,ARHGAP26,BSG,,,,,SARAF,,ANXA7,ANKRD44,,CFDP1,,,LPGAT1,,ANP32A,,,PABPC1,,,,KANSL1-AS1,AP1B1,
,,HNRNPA0,,CHMP1A,DDX56,CTDSP1,,ARFIP2,,BCL2L13,C2orf68,BIN2,CHMP6,FUS,NOLC1,TM9SF3,,,CTBP2,,,,,ASAH1,CCDC18-AS1,APTX,ATP6V0E1,CAND1,C11orf58,RAB10,AKAP13,JKAMP,ATP6V1F,BANP,ARFGAP3,JUND,,KIF5B,B4GALT4,MRPS6,,,,MAGT1,MFSD10,ARF4,LCMT1,APOBEC3H,ARL2,GTF3A,APRT,EXOC7,CCDC115,APRT,CD63,ITGAM,AP1M1,AHNAK,,FBXW2,TMUB2,ALOX5AP,F2R,PBXIP1,,,CASP4,,B4GALT4,RNF7,,PAK2,,XRCC6,CYB561A3,,SPSB3,,ERP29,CCDC85B,HNRNPA3,,EIF4A2,,ATAD2B,,,CD81,,,,ITM2A,MANF,ERLEC1,,,THRAP3,ZNF580,,,BNIP3L,HMGA1,BRAF,DENND3,TSNAX,,ARHGAP4,BUD31,,,,,SERPINB6,,AP1S2,ANP32A,,CHMP1B,,,MED30,,AOAH,,,PCBP2,,,,MKNK2,AP2A2,
,,HPCAL1,,CLASP1,DNAJA1,CXXC5,,ARHGAP15,,BHLHE40,CAB39,BIRC6,CLSTN1,GADD45A,PARP10,TMEM248,,,CTPS1,,,,,ATAD1,CCDC25,ARHGAP25,ATXN1L,CAPN1,C1QBP,RBM27,AKNA,KANSL1,ATR,BCAS2,ARHGAP15,KLF13,,LMBR1L,BAZ2B,NCAM1,,,,MAP2K1,MLF2,ARHGAP30,LSM14A,APOL3,ARL2BP,GTF3C1,ARAP2,FAAP20,CCDC82,ARF6,CDC123,ITGB2,AP2A1,AK3,,FDFT1,TOB2,ANAPC16,GABPB1-AS1,PCF11,,,CCT2,,BAG6,RXRB,,PPM1K,,ZFP36L2,CYP51A1,,SYPL1,,FAM177A1,CCNL1,HNRNPC,,EZH2,,ATG16L2,,,CDC42SE2,,,,KDELR2,MLX,FAM172A,,,TIA1,,,,BUD31,HNRNPH1,C11orf21,DENND4B,TXNIP,,ARHGDIA,C19orf12,,,,,SF3B3,,AP3M1,ANXA4,,CNST,,,MYH9,,AP1M1,,,PCNX1,,,,N4BP2L2,AP2S1,
,,HSP90AB1,,CLASP2,DTNBP1,DCAF11,,ARHGAP26,,BTG1,CALU,BNIP2,COMMD9,GFOD1,PCIF1,TMEM41B,,,CWF19L2,,,,,ATIC,CCNL1,ARIH1,ATXN2L,CBFB,C1orf131,SLC35E3,AKT2,KDM6B,ATXN1,BCLAF1,ARHGAP5,LRBA,,LYST,BCAP29,NCOA7,,,,MRPL10,MMAB,ARID5B,LSM3,ARHGAP9,ARMCX6,HIGD1A,ARF4,FAM43A,CCZ1,ARHGAP1,CDK11B,KDM2A,APH1A,AKT1,,FNIP1,TPP2,ANKIB1,GALNT10,PMAIP1,,,CCZ1,,BAZ1B,SAMM50,,PPP2R5A,,,DCAF11,,WHAMM,,FAM89B,CCNY,HNRNPK,,FGD5-AS1,,ATG2A,,,CDIPT,,,,KDM5B,MT2A,FAM207A,,,TMEM167A,,,,C19orf53,IDH2,C1D,DOK2,,,ARIH1,C19orf48,,,,,SKAP2,,APH1A,AP1S2,,COX17,,,NBEAL1,,AP2B1,,,PLCL2,,,,NHLRC3,APBB1IP,
,,ILF3,,CLPP,DYNC1H1,DDX3Y,,ARHGEF3,,C1GALT1,CAPN2,BOLA2,CST7,H2AFX,PHF3,UTP23,,,DDX3Y,,,,,ATP6V0C,CD44,ARIH2OS,AXIN1,CCDC107,CAP1,SYNCRIP,ALDH16A1,LAMTOR2,ATXN3,BIN1,ARHGAP9,LYST,,MXD4,BCKDHA,NFE2L2,,,,MVD,MX1,ARL6IP1,LYRM4,ARHGDIB,ARPC1B,HINT2,ARF6,FIP1L1,CDK6,ARHGAP30,CITED2,KLRD1,APIP,AKT2,,G3BP1,ZNF148,ANKRD10,GFOD1,PMPCA,,,CD44,,BECN1,SKIL,,PRKACB,,,DDX6,,,,FES,CEBPB,HTATSF1,,GCHFR,,ATP1A1,,,CHD2,,,,KLF2,N4BP2L1,FBXO11,,,ZNF428,,,,C6orf89,LRPAP1,CALM1,DR1,,,ARL14EP,C1D,,,,,SPTAN1,,APLP2,AP2B1,,COX20,,,PDS5A,,APMAP,,,PTPN4,,,,NUDC,APLP2,
,,ING2,,CMC1,EIF1B,DMTF1,,ARHGEF6,,CALCOCO2,CAPZA2,BRAF,CTDNEP1,HIBCH,PLEKHA1,WDR1,,,DNAJB1,,,,,ATP6V0D1,CD69,ARL6IP1,AZIN1,CCDC88C,CASC4,THUMPD3-AS1,ALG13,MAP4,BAX,BIRC2,ARHGEF6,MAP2K2,,NDUFS2,BHLHE40,OCIAD2,,,,N4BP2L1,NLRC5,ARMC1,NDUFA11,ARHGEF6,ARPC2,ING4,ARGLU1,FKBP3,CHMP5,ARL1,CLIC1,KLRK1,APOL2,ALG13,,GADD45B,ZNF655,ANKRD11,GLRX3,PPP1R15A,,,CDK6,,BIRC6,SLC25A46,,PSMD14,,,DENND2D,,,,FEZ1,CEBPG,IER5,,GGPS1,,ATP1B3,,,CHMP3,,,,MARCH7,NDUFB7,GABARAPL2,,,,,,,CCDC18-AS1,LZIC,CASP8,DUSP10,,,ARL4C,C1orf21,,,,,SUN2,,ARF1,APBB1IP,,CRLS1,,,PICALM,,APOBR,,,SNHG6,,,,PATL2,APOL6,
,,IRAK4,,COA1,EXOC6,DPM3,,ARIH2OS,,CAMK1D,CAT,BTG1,CTDSP1,HIST1H1C,PPP3CC,ZNF518A,,,DNAJB6,,,,,ATXN1L,CEBPZOS,ARPC5L,BAG1,CCND2,CCAR1,WDR60,ALKBH6,MDM4,BCAS2,BRIX1,ARID4B,MAP3K8,,NHP2,BRD2,PAK2,,,,NCOA7,NUCB2,ARPC1A,NDUFA5,ARID1A,ARPC4,INIP,ARHGAP1,G3BP2,CNOT8,ARL6IP1,CLPTM1L,LY6E,APRT,ALKBH5,,GPBP1,,ANXA4,GOLIM4,PPP1R35,,,CDKN2AIP,,BLOC1S6,SLC38A1,,PTPN11,,,DLD,,,,FLOT1,CFL1,JAK1,,GNL1,,ATP6V1E1,,,CISD1,,,,MPC2,NDUFS7,GAPVD1,,,,,,,CCT7,MGST3,CCDC90B,EIF1AY,,,ARPC1B,CACYBP,,,,,TMEM41B,,ARF4,APH1A,,CSNK1A1,,,PNPLA8,,APRT,,,SZRD1,,,,PILRB,ARHGAP26,
,,KLF6,,COPS5,FUNDC2,ETF1,,ARL4A,,CBLB,CD2BP2,C16orf91,EFHD2,HIST2H2AC,RAB14,,,,DNAJB9,,,,,AXIN1,CFAP20,ASXL1,BANF1,CCNH,CCDC18,XRN2,ALYREF,METAP2,BIRC2,BTF3,ARL14EP,MED7,,NLRC5,BROX,PARP14,,,,NDUFS6,PNRC1,ARRB2,NDUFS7,ARID4B,ARPC5L,IQGAP1,ARHGAP4,GCH1,COPB2,ARL8A,CMC1,MADD,AQR,AMD1,,GZMH,,AP1S2,GORASP2,PREPL,,,CEBPZ,,BNIP2,TBPL1,,QKI,,,DNAJC21,,,,GALT,CHD6,KATNA1,,GRK6,,B3GAT3,,,CLPTM1,,,,MYADM,NONO,GGA1,,,,,,,CD164,MOB3A,CCM2,EIF4H,,,ATF7IP,CAMTA1,,,,,UBE2F,,ARFIP2,APPL1,,CYHR1,,,PPP1CB,,APTX,,,TPP2,,,,PRR13,ARHGAP9,
,,KLF9,,COQ10A,G3BP2,FOXN3,,ARMC1,,CBX6,CD63,C17orf49,EIF5A2,IFNAR2,RALGDS,,,,EHD1,,,,,BANF1,CMTM3,ATF7IP2,BAZ1B,CD247,CCL5,,ANAPC10,MRPS6,BLVRB,BTG1,ARMC10,MGRN1,,NUP107,BTG1,PDCD4,,,,OSBPL8,POLR2I,ARRDC3,NME1,ARL2,ARRB2,JKAMP,ARHGAP9,GLO1,COPZ1,ARPC1B,COMMD2,MED15,ARF4,AMZ2,,H2AFZ,,AP3S1,H3F3A,PRKAG1,,,CEP350,,BRI3,TIPARP,,RHOBTB3,,,DNM2,,,,GATA3,CKS2,LARP7,,HDAC10,,BANF1,,,CNOT7,,,,MYL12B,PARP14,GOLGA3,,,,,,,CD2BP2,MRPL38,CCS,ELOVL1,,,ATG5,CCDC18,,,,,ZBTB16,,ARHGAP9,ARAP1,,DCTN3,,,PSMD1,,ARAP2,,,UPF2,,,,RBM34,ASCL2,
,,KLRD1,,COQ10B,G6PD,GCHFR,,ARPC1B,,CCDC124,CD81,C1QBP,EPSTI1,KRTCAP2,RWDD1,,,,EIF1,,,,,BAZ2B,CNIH4,ATG10,BBX,CDC42,CCM2,,ANAPC16,MYLIP,BMS1,BTG2,ARPC1A,MT2A,,OTUD5,C17orf49,PHF20L1,,,,PPP6C,PSMD2,ATG5,NR1H2,ARL6IP1,ARRDC3,LUC7L2,ARHGEF1,HNRNPF,CPSF7,ASCC3,COX14,MICU2,ARFGAP3,ANAPC16,,HIVEP3,,APC,HDAC2,PTPRJ,,,CFAP20,,BTBD1,TMA16,,RNF19A,,,DUSP23,,,,GNL3L,CMSS1,LMNB1,,HLA-DPA1,,BAZ1B,,,CNOT8,,,,NAP1L1,PDCD5,GSK3B,,,,,,,CHD4,MYADM,CD2,ELOVL5,,,ATP1B3,CCT7,,,,,,,ARHGDIB,ARCN1,,DERA,,,QKI,,ARF5,,,UQCRB,,,,REEP4,ASPSCR1,
